compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PIPE__L0,__PIPE__L1,__PIPE__L3,__TILE__L0,__TILE__L1,__TILE__L3
06min 33sec,283371 (1.216ms),152141 (12%),290809 (12%),270 (6%),356 (5%),128 (13%),1,1,1,10,16,16,16,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,16,16,10,flatten,off,off,1,1,1
13min 28sec,362511 (1.563ms),150121 (12%),128325 (5%),270 (6%),356 (5%),128 (13%),1,4,1,1,16,16,25,off,off,off,1,1,1
12min 27sec,187291 (0.807ms),142620 (12%),110180 (4%),256 (5%),397 (5%),128 (13%),1,1,20,1,16,16,25,off,off,off,1,1,1
05min 10sec,617399 (2.661ms),91675 (7%),92014 (3%),1678 (38%),465 (6%),0 (~0%),16,1,1,1,16,16,25,off,off,off,1,1,1
05min 41sec,190411 (0.821ms),110228 (9%),93900 (3%),270 (6%),356 (5%),128 (13%),1,1,1,1,16,16,20,off,off,off,1,1,1
31min 22sec,425042 (1.824ms),783116 (66%),1548954 (65%),1592 (36%),7683 (112%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,2,1,1
06min 03sec,613964 (2.646ms),89044 (7%),88625 (3%),1642 (38%),466 (6%),0 (~0%),10,1,1,1,16,16,25,off,off,off,1,1,1
21min 55sec,1090748 (4.661ms),772367 (65%),1012978 (42%),2378 (55%),8801 (128%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,1,1,2
06min 14sec,617596 (2.662ms),96101 (8%),107995 (4%),1628 (37%),537 (7%),0 (~0%),10,1,20,1,16,16,25,off,off,off,1,1,1
13min 23sec,192675 (0.823ms),155395 (13%),135622 (5%),256 (5%),477 (6%),128 (13%),1,16,20,1,16,16,25,off,off,off,1,1,1
31min 42sec,428538 (1.831ms),791749 (66%),1561097 (66%),1592 (36%),7727 (112%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,2,8,1
16min 10sec,491546 (2.101ms),774489 (65%),999508 (42%),2392 (55%),8881 (129%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,1,8,1
13min 57sec,209761 (0.904ms),142837 (12%),92639 (3%),248 (5%),363 (5%),128 (13%),1,1,1,1,16,10,25,off,off,off,1,1,1
16min 54sec,668250 (2.868ms),769020 (65%),1011118 (42%),2392 (55%),8801 (128%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,1,4,1
05min 41sec,616656 (2.658ms),98308 (8%),112271 (4%),1664 (38%),536 (7%),0 (~0%),8,1,20,1,16,16,25,off,off,off,1,1,1
12min 46sec,367391 (1.584ms),148805 (12%),141208 (5%),256 (5%),397 (5%),128 (13%),1,1,20,4,16,16,25,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,16,16,10,flatten,off,off,1,400,1
13min 54sec,270641 (1.167ms),204874 (17%),314210 (13%),256 (5%),397 (5%),128 (13%),1,10,20,1,16,16,25,off,off,off,1,1,1
12min 36sec,181421 (0.782ms),180160 (15%),152283 (6%),1056 (24%),712 (10%),0 (~0%),1,1,20,1,25,16,25,off,off,off,1,1,1
19min 57sec,492964 (2.107ms),769698 (65%),993190 (42%),2378 (55%),8845 (129%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,1,1,8
14min 21sec,183001 (0.789ms),145585 (12%),101342 (4%),248 (5%),356 (5%),128 (13%),1,1,10,1,16,16,25,off,off,off,1,1,1
12min 01sec,197291 (0.85ms),134260 (11%),93558 (3%),256 (5%),233 (3%),128 (13%),1,1,20,1,8,16,25,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,16,16,25,off,off,flatten,1,1,1
16min 21sec,1159965 (4.978ms),778162 (65%),1022763 (43%),1862 (43%),8892 (130%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,1,2,2
60min 00sec,,,,,,,1,1,20,1,25,16,25,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,16,1,16,16,25,off,off,flatten,1,1,1
12min 37sec,913575 (3.921ms),771088 (65%),1016104 (42%),1880 (43%),8801 (128%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,1,2,1
20min 30sec,670278 (2.864ms),775793 (65%),1018860 (43%),2374 (54%),8881 (129%),0 (~0%),1,1,1,1,16,16,10,flatten,off,off,1,4,4
05min 15sec,1826012 (7.304ms),33552 (2%),31631 (1%),526 (12%),24 (~0%),0 (~0%),1,1,1,1,1,1,1,off,off,off,1,1,1
08min 48sec,2002412 (8.01ms),58635 (4%),175395 (7%),526 (12%),24 (~0%),0 (~0%),1,5,1,1,1,1,1,off,off,off,1,1,1
07min 00sec,1233282 (4.933ms),36463 (3%),33491 (1%),782 (18%),26 (~0%),0 (~0%),1,1,1,1,1,4,1,off,off,off,1,1,1
08min 13sec,2185012 (8.74ms),42784 (3%),53718 (2%),526 (12%),24 (~0%),0 (~0%),1,2,1,1,1,1,1,off,off,off,1,1,1
07min 49sec,2185012 (8.74ms),40829 (3%),51930 (2%),526 (12%),24 (~0%),0 (~0%),1,1,1,2,1,1,1,off,off,off,1,1,1
07min 11sec,1430412 (5.722ms),33747 (2%),32274 (1%),526 (12%),24 (~0%),0 (~0%),1,1,1,1,1,1,2,off,off,off,1,1,1
07min 21sec,1825782 (7.303ms),35556 (3%),33118 (1%),526 (12%),30 (~0%),0 (~0%),1,1,4,1,1,1,1,off,off,off,1,1,1
06min 57sec,1746082 (6.984ms),35208 (2%),34501 (1%),526 (12%),46 (~0%),0 (~0%),1,1,1,1,2,1,1,off,off,off,1,1,1
06min 12sec,1136812 (4.547ms),41077 (3%),37849 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,1,off,off,off,1,1,1
06min 16sec,1451212 (6.202ms),35288 (2%),36844 (1%),546 (12%),24 (~0%),0 (~0%),1,1,1,1,5,1,2,off,off,off,1,1,1
07min 25sec,1607212 (6.429ms),56854 (4%),174253 (7%),526 (12%),24 (~0%),0 (~0%),1,1,1,5,1,1,2,off,off,off,1,1,1
07min 23sec,1610112 (6.44ms),42059 (3%),65078 (2%),526 (12%),24 (~0%),0 (~0%),1,4,1,1,1,1,2,off,off,off,1,1,1
07min 14sec,1409682 (5.639ms),59171 (5%),175485 (7%),782 (18%),26 (~0%),0 (~0%),1,1,1,5,1,4,1,off,off,off,1,1,1
06min 47sec,1412982 (5.652ms),42451 (3%),64523 (2%),782 (18%),26 (~0%),0 (~0%),1,1,1,4,1,4,1,off,off,off,1,1,1
06min 57sec,1254082 (5.359ms),40072 (3%),40525 (1%),802 (18%),26 (~0%),0 (~0%),1,1,1,1,5,4,1,off,off,off,1,1,1
06min 21sec,1233662 (5.272ms),36768 (3%),34119 (1%),792 (18%),26 (~0%),0 (~0%),1,1,5,1,1,4,1,off,off,off,1,1,1
07min 07sec,2022413 (8.717ms),45641 (3%),56084 (2%),782 (18%),26 (~0%),0 (~0%),1,2,1,1,1,4,1,off,off,off,1,1,1
06min 16sec,1132811 (4.531ms),42267 (3%),39431 (1%),578 (13%),73 (1%),64 (6%),5,1,1,1,1,8,1,off,off,off,1,1,1
06min 16sec,741212 (3.181ms),41413 (3%),38303 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,2,off,off,off,1,1,1
06min 19sec,504812 (2.176ms),43769 (3%),39473 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,5,off,off,off,1,1,1
06min 43sec,1116561 (4.772ms),48452 (4%),40641 (1%),248 (5%),55 (~0%),64 (6%),1,1,1,1,1,10,1,off,off,off,1,1,1
07min 00sec,1703812 (7.281ms),49928 (4%),59411 (2%),1294 (29%),29 (~0%),0 (~0%),1,2,1,1,1,8,1,off,off,off,1,1,1
06min 17sec,1194764 (5.106ms),39890 (3%),35046 (1%),1304 (30%),29 (~0%),0 (~0%),1,1,1,1,1,5,1,off,off,off,1,1,1
05min 30sec,384882 (1.659ms),48135 (4%),44062 (1%),1294 (29%),92 (1%),0 (~0%),1,1,1,1,4,8,5,off,off,off,1,1,1
05min 49sec,446812 (1.787ms),41684 (3%),40168 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,8,off,off,off,1,1,1
06min 30sec,1308212 (5.591ms),50228 (4%),59928 (2%),1294 (29%),29 (~0%),0 (~0%),1,2,1,1,1,8,2,off,off,off,1,1,1
06min 50sec,681612 (2.938ms),66766 (5%),181405 (7%),1294 (29%),48 (~0%),0 (~0%),1,1,1,5,1,8,5,off,off,off,1,1,1
05min 54sec,504582 (2.175ms),44493 (3%),40046 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,4,1,1,8,5,off,off,off,1,1,1
05min 49sec,427212 (1.826ms),44880 (3%),41755 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,10,off,off,off,1,1,1
06min 49sec,918012 (3.94ms),66389 (5%),182068 (7%),1294 (29%),48 (~0%),0 (~0%),1,5,1,1,1,8,2,off,off,off,1,1,1
05min 52sec,427212 (1.826ms),44880 (3%),41755 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,10,off,off,off,1,1,1
05min 55sec,427082 (1.825ms),45145 (3%),42075 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,2,1,1,8,10,off,off,off,1,1,1
05min 29sec,384652 (1.658ms),48771 (4%),44635 (1%),1294 (29%),92 (1%),0 (~0%),1,1,4,1,4,8,5,off,off,off,1,1,1
05min 22sec,364812 (1.572ms),53939 (4%),52882 (2%),1294 (29%),180 (2%),0 (~0%),1,1,1,1,8,8,5,off,off,off,1,1,1
05min 39sec,543612 (2.343ms),42035 (3%),38818 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,4,off,off,off,1,1,1
05min 59sec,564982 (2.435ms),53980 (4%),75093 (3%),1294 (29%),92 (1%),0 (~0%),1,1,1,4,4,8,5,off,off,off,1,1,1
05min 54sec,720482 (3.092ms),37807 (3%),38522 (1%),526 (12%),48 (~0%),0 (~0%),1,1,1,1,1,2,10,off,off,off,1,1,1
05min 40sec,398412 (1.703ms),46368 (3%),46080 (1%),1294 (29%),84 (1%),0 (~0%),1,1,1,1,1,8,16,off,off,off,1,1,1
05min 19sec,1016882 (4.068ms),45299 (3%),42246 (1%),1294 (29%),92 (1%),0 (~0%),1,1,1,1,4,8,1,off,off,off,1,1,1
05min 59sec,561383 (2.42ms),70966 (6%),186631 (7%),1294 (29%),92 (1%),0 (~0%),1,1,4,5,4,8,5,off,off,off,1,1,1
06min 02sec,541612 (2.335ms),76936 (6%),194878 (8%),1294 (29%),180 (2%),0 (~0%),1,1,1,5,8,8,5,off,off,off,1,1,1
08min 48sec,524582 (2.261ms),51793 (4%),51657 (2%),1314 (30%),48 (~0%),0 (~0%),1,1,4,1,5,8,5,off,off,off,1,1,1
05min 13sec,677922 (2.897ms),41870 (3%),40519 (1%),526 (12%),92 (1%),0 (~0%),1,1,4,1,4,2,5,off,off,off,1,1,1
05min 21sec,1073852 (4.589ms),41518 (3%),40255 (1%),526 (12%),90 (1%),0 (~0%),1,1,4,1,4,1,5,off,off,off,1,1,1
04min 59sec,996812 (3.987ms),51023 (4%),50810 (2%),1294 (29%),180 (2%),0 (~0%),1,1,1,1,8,8,1,off,off,off,1,1,1
05min 55sec,951652 (4.067ms),57641 (4%),67528 (2%),1294 (29%),92 (1%),0 (~0%),1,2,4,1,4,8,5,off,off,off,1,1,1
50min 10sec,334473 (1.442ms),1012572 (85%),1168090 (49%),3470 (80%),8800 (128%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,1,1
05min 33sec,544912 (2.349ms),60209 (5%),83913 (3%),1294 (29%),180 (2%),0 (~0%),1,1,1,4,8,8,5,off,off,off,1,1,1
04min 51sec,601212 (2.58ms),51359 (4%),51264 (2%),1294 (29%),180 (2%),0 (~0%),1,1,1,1,8,8,2,off,off,off,1,1,1
05min 11sec,424652 (1.83ms),44697 (3%),40359 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,4,1,2,8,5,off,off,off,1,1,1
05min 36sec,564683 (2.434ms),54239 (4%),75666 (3%),1294 (29%),92 (1%),0 (~0%),1,1,4,4,4,8,5,off,off,off,1,1,1
06min 03sec,541612 (2.335ms),78887 (6%),196647 (8%),1294 (29%),180 (2%),0 (~0%),1,5,1,1,8,8,5,off,off,off,1,1,1
05min 04sec,384532 (1.657ms),48189 (4%),45336 (1%),1294 (29%),92 (1%),0 (~0%),1,1,8,1,4,8,5,off,off,off,1,1,1
04min 36sec,369476 (1.579ms),62606 (5%),64841 (2%),1294 (29%),224 (3%),0 (~0%),1,8,1,1,8,8,5,off,off,off,1,1,1
04min 24sec,306812 (1.227ms),51576 (4%),53129 (2%),1294 (29%),180 (2%),0 (~0%),1,1,1,1,8,8,8,off,off,off,1,1,1
04min 23sec,791260 (3.411ms),57546 (4%),57760 (2%),734 (16%),223 (3%),0 (~0%),2,1,1,1,8,8,5,off,off,off,1,1,1
04min 19sec,403612 (1.74ms),51981 (4%),51779 (2%),1294 (29%),180 (2%),0 (~0%),1,1,1,1,8,8,4,off,off,off,1,1,1
04min 40sec,364682 (1.572ms),54197 (4%),53202 (2%),1294 (29%),180 (2%),0 (~0%),1,1,2,1,8,8,5,off,off,off,1,1,1
04min 51sec,371748 (1.589ms),58984 (4%),61407 (2%),1294 (29%),202 (2%),0 (~0%),1,1,1,8,8,8,5,off,off,off,1,1,1
08min 17sec,467612 (1.998ms),48453 (4%),52068 (2%),1314 (30%),48 (~0%),0 (~0%),1,1,1,1,5,8,8,off,off,off,1,1,1
08min 33sec,524412 (2.26ms),51070 (4%),51083 (2%),1314 (30%),48 (~0%),0 (~0%),1,1,1,1,5,8,5,off,off,off,1,1,1
04min 38sec,258412 (1.104ms),53275 (4%),56094 (2%),1294 (29%),180 (2%),0 (~0%),1,1,1,1,8,8,16,off,off,off,1,1,1
04min 40sec,306582 (1.226ms),52265 (4%),53702 (2%),1294 (29%),180 (2%),0 (~0%),1,1,4,1,8,8,8,off,off,off,1,1,1
10min 29sec,1518812 (6.519ms),771628 (65%),1017425 (43%),1506 (34%),8802 (128%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,1,2
04min 57sec,248411 (1.066ms),72156 (6%),65377 (2%),270 (6%),180 (2%),64 (6%),1,1,1,1,8,8,20,off,off,off,1,1,1
10min 24sec,997812 (4.282ms),766970 (64%),1012820 (42%),1506 (34%),8802 (128%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,1,4
06min 31sec,240411 (1.032ms),90098 (7%),67030 (2%),270 (6%),180 (2%),64 (6%),1,1,1,1,8,8,25,off,off,off,1,1,1
04min 55sec,661406 (2.839ms),70185 (5%),69834 (2%),1378 (31%),290 (4%),0 (~0%),5,1,1,1,8,8,25,off,off,off,1,1,1
05min 13sec,345282 (1.476ms),72207 (6%),59016 (2%),1294 (29%),180 (2%),0 (~0%),1,1,1,1,8,4,20,off,off,off,1,1,1
05min 37sec,315244 (1.353ms),62285 (5%),65411 (2%),1968 (45%),269 (3%),0 (~0%),2,1,1,1,8,8,20,off,off,off,1,1,1
05min 04sec,661944 (2.841ms),71567 (6%),70745 (2%),1374 (31%),289 (4%),0 (~0%),4,1,1,1,8,8,25,off,off,off,1,1,1
05min 37sec,534082 (2.302ms),63646 (5%),59120 (2%),782 (18%),180 (2%),0 (~0%),1,1,1,1,8,2,25,off,off,off,1,1,1
51min 06sec,189264 (0.757ms),734414 (62%),745347 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,1,1,8,8,25,off,off,flatten,1,1,1
13min 30sec,847984 (3.639ms),616222 (52%),831783 (35%),706 (16%),7640 (111%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,8,1,4
50min 41sec,191334 (0.765ms),756325 (63%),747479 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,2,1,8,8,25,off,off,flatten,1,1,1
54min 38sec,189716 (0.759ms),1116713 (94%),1135771 (48%),3470 (80%),8800 (128%),0 (~0%),1,1,1,2,8,8,25,off,off,flatten,1,1,1
10min 44sec,997812 (4.282ms),766970 (64%),1012820 (42%),1506 (34%),8802 (128%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,400,1,4
10min 30sec,825748 (3.544ms),767924 (64%),996358 (42%),1506 (34%),8824 (129%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,1,1,8
54min 53sec,191133 (0.765ms),1136259 (96%),1137840 (48%),3470 (80%),8800 (128%),0 (~0%),1,1,2,2,8,8,25,off,off,flatten,1,1,1
56min 33sec,249334 (0.997ms),718368 (60%),741699 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,1,1,2,8,25,off,off,flatten,1,1,1
51min 19sec,187320 (0.749ms),754588 (63%),747886 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,8,1,8,8,25,off,off,flatten,1,1,1
51min 44sec,209334 (0.837ms),723758 (61%),742849 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,1,1,4,8,25,off,off,flatten,1,1,1
09min 05sec,196370 (0.785ms),448205 (37%),537356 (22%),1118 (25%),4581 (66%),64 (6%),2,1,2,1,8,8,25,off,off,flatten,1,1,1
53min 47sec,328863 (1.315ms),749978 (63%),788052 (33%),3470 (80%),7600 (111%),0 (~0%),1,1,1,1,1,8,25,off,off,flatten,1,1,1
21min 07sec,289403 (1.158ms),609893 (51%),665479 (28%),1870 (43%),4400 (64%),0 (~0%),1,1,2,1,8,4,25,off,off,flatten,1,1,1
32min 25sec,683339 (2.933ms),778516 (65%),1557084 (65%),706 (16%),7662 (112%),0 (~0%),1,1,4,1,4,8,5,flatten,off,off,2,1,8
52min 12sec,189264 (0.757ms),734414 (62%),745347 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,1,1,8,8,2,off,off,flatten,1,1,1
08min 56sec,197100 (0.788ms),447967 (37%),537220 (22%),1118 (25%),4581 (66%),64 (6%),2,1,1,1,8,8,25,off,off,flatten,1,1,1
51min 34sec,187320 (0.749ms),754588 (63%),747886 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,8,1,8,8,4,off,off,flatten,1,1,1
58min 06sec,287333 (1.149ms),600768 (50%),714547 (30%),1870 (43%),4400 (64%),0 (~0%),1,1,1,1,8,4,25,off,off,flatten,1,1,1
51min 56sec,369363 (1.477ms),735214 (62%),726991 (30%),3470 (80%),4400 (64%),0 (~0%),1,4,1,1,8,8,25,off,off,flatten,1,1,1
51min 16sec,187320 (0.749ms),754588 (63%),747886 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,8,1,8,8,2,off,off,flatten,1,1,1
54min 54sec,188100 (0.804ms),754640 (63%),747510 (31%),3480 (80%),4400 (64%),0 (~0%),1,1,5,1,8,8,25,off,off,flatten,1,1,1
49min 58sec,187320 (0.749ms),754588 (63%),747886 (31%),3470 (80%),4400 (64%),0 (~0%),1,1,8,1,8,8,8,off,off,flatten,1,1,1
