compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
37min 34sec,13303 (0.053ms),694312 (58%),840672 (35%),154 (3%),5342 (78%),1 (~0%),20,8,4,4,off,flatten,1,1
37min 23sec,13303 (0.053ms),694312 (58%),840672 (35%),154 (3%),5342 (78%),1 (~0%),20,8,4,4,off,flatten,1,1
38min 46sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,12,4,off,flatten,1,1
46min 57sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,12,4,off,flatten,1,1
47min 08sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,12,off,flatten,1,1
39min 32sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,12,off,flatten,1,1
60min 00sec,,,,,,,1,80,4,4,off,flatten,2,1
60min 00sec,,,,,,,1,80,4,4,off,flatten,60,1
39min 37sec,13304 (0.055ms),692738 (58%),841181 (35%),154 (3%),5342 (78%),1 (~0%),30,8,4,4,off,flatten,1,1
39min 39sec,13304 (0.055ms),692738 (58%),841181 (35%),154 (3%),5342 (78%),1 (~0%),30,8,4,4,off,flatten,1,1
39min 05sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,15,4,off,flatten,1,1
37min 49sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,15,4,off,flatten,1,1
38min 55sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,15,off,flatten,1,1
38min 45sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,15,off,flatten,1,1
60min 00sec,,,,,,,1,20,4,4,off,flatten,4,1
60min 00sec,,,,,,,1,80,4,4,off,flatten,1,4
03min 20sec,1634101 (6.536ms),16207 (1%),16011 (~0%),218 (5%),30 (~0%),3 (~0%),1,1,1,1,off,off,1,1
05min 51sec,1634179 (6.537ms),57186 (4%),55178 (2%),206 (4%),129 (1%),2 (~0%),1,1,10,1,off,off,1,1
05min 42sec,1634128 (6.537ms),17787 (1%),17107 (~0%),218 (5%),32 (~0%),3 (~0%),10,1,1,1,off,off,1,1
05min 46sec,1634178 (6.537ms),42636 (3%),43599 (1%),306 (7%),100 (1%),2 (~0%),1,1,6,1,off,off,1,1
05min 51sec,832512 (3.558ms),19801 (1%),18671 (~0%),306 (7%),30 (~0%),2 (~0%),1,1,1,6,off,off,1,1
05min 58sec,1634167 (6.537ms),72244 (6%),66506 (2%),216 (5%),199 (2%),2 (~0%),1,1,15,1,off,off,1,1
05min 40sec,1634128 (6.537ms),17877 (1%),17117 (~0%),218 (5%),32 (~0%),3 (~0%),6,1,1,1,off,off,1,1
05min 44sec,890112 (3.804ms),19216 (1%),18290 (~0%),286 (6%),30 (~0%),2 (~0%),1,1,1,5,off,off,1,1
05min 30sec,1640702 (6.563ms),14148 (1%),12165 (~0%),46 (1%),30 (~0%),11 (1%),1,10,1,1,off,off,1,1
04min 23sec,741312 (3.182ms),30794 (2%),28275 (1%),210 (4%),36 (~0%),2 (~0%),1,1,1,12,off,off,1,1
04min 54sec,621378 (2.655ms),74816 (6%),68312 (2%),284 (6%),196 (2%),1 (~0%),1,1,15,5,off,off,1,1
04min 27sec,741312 (3.182ms),30794 (2%),28275 (1%),210 (4%),36 (~0%),2 (~0%),1,1,1,12,off,off,1,1
04min 30sec,904515 (4.038ms),20065 (1%),18570 (~0%),286 (6%),33 (~0%),2 (~0%),4,1,1,5,off,off,1,1
04min 31sec,837331 (3.578ms),21186 (1%),19498 (~0%),306 (7%),32 (~0%),2 (~0%),20,1,1,6,off,off,1,1
04min 39sec,630990 (2.697ms),59668 (5%),56984 (2%),274 (6%),126 (1%),1 (~0%),1,1,10,5,off,off,1,1
04min 40sec,573390 (2.45ms),60243 (5%),57371 (2%),294 (6%),126 (1%),1 (~0%),1,1,10,6,off,off,1,1
04min 36sec,578134 (2.471ms),48408 (4%),40375 (1%),294 (6%),128 (1%),1 (~0%),10,1,10,6,off,off,1,1
05min 01sec,755797 (3.23ms),77233 (6%),70580 (2%),284 (6%),201 (2%),1 (~0%),12,1,15,5,off,off,1,1
04min 59sec,626197 (2.676ms),76070 (6%),69298 (2%),284 (6%),198 (2%),1 (~0%),10,1,15,5,off,off,1,1
05min 03sec,448567 (1.925ms),87933 (7%),79800 (3%),214 (4%),196 (2%),1 (~0%),1,1,15,15,off,off,1,1
04min 47sec,703001 (3.004ms),63450 (5%),60220 (2%),294 (6%),142 (2%),1 (~0%),6,1,10,6,off,off,1,1
05min 02sec,616588 (2.635ms),90022 (7%),79764 (3%),294 (6%),251 (3%),1 (~0%),1,1,20,5,off,off,1,1
04min 36sec,623178 (2.663ms),47945 (4%),50880 (2%),176 (4%),196 (2%),5 (~0%),1,10,15,5,off,off,1,1
28min 22sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,10,6,off,flatten,1,1
04min 28sec,453367 (1.946ms),88711 (7%),80056 (3%),214 (4%),196 (2%),1 (~0%),1,16,15,15,off,off,1,1
04min 18sec,458179 (1.966ms),72785 (6%),68478 (2%),204 (4%),126 (1%),1 (~0%),1,1,10,15,off,off,1,1
04min 13sec,458179 (1.966ms),72785 (6%),68478 (2%),204 (4%),126 (1%),1 (~0%),1,1,10,15,off,off,1,1
07min 35sec,438901 (1.884ms),183593 (15%),128811 (5%),244 (5%),346 (5%),1 (~0%),1,1,30,15,off,off,1,1
04min 12sec,587793 (2.624ms),60915 (5%),57702 (2%),294 (6%),129 (1%),1 (~0%),2,1,10,6,off,off,1,1
04min 11sec,573390 (2.45ms),57278 (4%),57243 (2%),294 (6%),126 (1%),1 (~0%),1,8,10,6,off,off,1,1
03min 51sec,486978 (2.09ms),57145 (4%),56043 (2%),284 (6%),92 (1%),1 (~0%),1,1,5,15,off,off,1,1
29min 38sec,21703 (0.087ms),288286 (24%),250641 (10%),154 (3%),678 (9%),1 (~0%),15,1,10,6,off,flatten,1,1
07min 14sec,443728 (1.904ms),184998 (15%),130011 (5%),244 (5%),348 (5%),1 (~0%),5,1,30,15,off,off,1,1
07min 16sec,444372 (1.907ms),183249 (15%),130968 (5%),244 (5%),346 (5%),1 (~0%),1,4,30,15,off,off,1,1
28min 45sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,12,6,off,flatten,1,1
28min 45sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,20,6,off,flatten,1,1
04min 15sec,445501 (1.912ms),77916 (6%),67851 (2%),196 (4%),346 (5%),5 (~0%),1,10,30,15,off,off,1,1
29min 54sec,21680 (0.089ms),291693 (24%),249992 (10%),154 (3%),677 (9%),1 (~0%),2,1,12,6,off,flatten,1,1
29min 13sec,21703 (0.087ms),288195 (24%),250596 (10%),154 (3%),678 (9%),1 (~0%),20,1,10,6,off,flatten,1,1
41min 40sec,21703 (0.087ms),288445 (24%),250643 (10%),154 (3%),678 (9%),1 (~0%),12,1,10,6,off,flatten,1,1
28min 31sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,6,6,off,flatten,1,1
29min 16sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,30,6,off,flatten,1,1
29min 27sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,15,6,off,flatten,1,1
28min 51sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,10,6,off,flatten,1,1
29min 02sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,20,6,off,flatten,1,1
29min 46sec,21704 (0.089ms),290250 (24%),250793 (10%),154 (3%),678 (9%),1 (~0%),3,1,12,6,off,flatten,1,1
60min 00sec,,,,,,,1,16,12,6,off,flatten,1,1
29min 34sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,10,6,off,flatten,1,1
60min 00sec,,,,,,,1,16,10,6,off,flatten,1,1
29min 00sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,10,10,off,flatten,1,1
21min 48sec,21797 (0.087ms),436717 (36%),540100 (22%),130 (3%),3342 (48%),1 (~0%),1,5,10,6,off,flatten,1,1
60min 00sec,,,,,,,1,16,10,6,off,flatten,1,2
60min 00sec,,,,,,,1,16,10,6,off,flatten,2,1
29min 19sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,12,6,off,flatten,1,1
30min 33sec,21680 (0.087ms),289492 (24%),250014 (10%),154 (3%),677 (9%),1 (~0%),4,1,12,6,off,flatten,1,1
60min 00sec,,,,,,,1,16,10,6,off,flatten,1,4
60min 00sec,,,,,,,1,1,12,6,flatten,flatten,1,1
29min 49sec,21703 (0.087ms),288242 (24%),250622 (10%),154 (3%),678 (9%),1 (~0%),5,1,10,6,off,flatten,1,1
42min 55sec,21703 (0.087ms),288494 (24%),250646 (10%),154 (3%),678 (9%),1 (~0%),6,1,12,6,off,flatten,1,1
30min 06sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,10,12,off,flatten,1,1
30min 36sec,21680 (0.087ms),289492 (24%),250014 (10%),154 (3%),677 (9%),1 (~0%),4,1,12,6,off,flatten,1,1
40min 56sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,12,6,off,flatten,1,1
30min 42sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,12,10,off,flatten,1,1
31min 03sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,12,12,off,flatten,1,1
30min 44sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,10,15,off,flatten,1,1
39min 37sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,5,6,off,flatten,1,1
60min 00sec,,,,,,,1,1,10,6,flatten,flatten,1,1
60min 00sec,,,,,,,1,16,10,6,off,flatten,1,80
28min 49sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,10,60,off,flatten,1,1
42min 27sec,15078 (0.06ms),491356 (41%),504327 (21%),154 (3%),2682 (39%),1 (~0%),1,4,10,6,off,flatten,1,1
60min 00sec,,,,,,,1,1,12,6,flatten,flatten,8,1
39min 47sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,12,12,off,flatten,1,1
40min 30sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,12,20,off,flatten,1,1
52min 45sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,15,6,off,flatten,1,1
43min 44sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,5,12,off,flatten,1,1
60min 00sec,,,,,,,1,1,12,6,flatten,flatten,4,1
60min 00sec,,,,,,,1,16,12,6,off,flatten,1,8
49min 25sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,20,6,off,flatten,1,1
44min 41sec,13280 (0.053ms),692096 (58%),840287 (35%),154 (3%),5341 (78%),1 (~0%),2,8,5,6,off,flatten,1,1
44min 37sec,13280 (0.053ms),692096 (58%),840287 (35%),154 (3%),5341 (78%),1 (~0%),2,8,12,6,off,flatten,1,1
03min 13sec,1634101 (6.536ms),16207 (1%),16011 (~0%),218 (5%),30 (~0%),3 (~0%),1,1,1,1,off,off,1,1
05min 40sec,1648504 (7.359ms),17167 (1%),16324 (~0%),218 (5%),33 (~0%),3 (~0%),2,1,1,1,off,off,1,1
05min 41sec,1048514 (4.194ms),17447 (1%),17006 (~0%),234 (5%),27 (~0%),5 (~0%),1,1,1,3,off,off,1,1
05min 41sec,1634128 (6.537ms),17852 (1%),17118 (~0%),218 (5%),32 (~0%),3 (~0%),3,1,1,1,off,off,1,1
05min 38sec,1634702 (6.539ms),27420 (2%),18223 (~0%),218 (5%),30 (~0%),3 (~0%),1,4,1,1,off,off,1,1
05min 38sec,1634101 (6.536ms),19026 (1%),17813 (~0%),218 (5%),41 (~0%),4 (~0%),1,1,2,1,off,off,1,1
05min 38sec,1634101 (6.536ms),23811 (2%),21343 (~0%),266 (6%),63 (~0%),2 (~0%),1,1,4,1,off,off,1,1
05min 39sec,933301 (3.733ms),18168 (1%),17362 (~0%),266 (6%),30 (~0%),2 (~0%),1,1,1,4,off,off,1,1
05min 22sec,789301 (3.157ms),20316 (1%),18687 (~0%),266 (6%),38 (~0%),3 (~0%),1,1,2,4,off,off,1,1
05min 31sec,856593 (3.426ms),36974 (3%),39400 (1%),250 (5%),64 (~0%),7 (~0%),1,1,3,3,off,off,1,1
05min 27sec,904514 (3.618ms),20265 (1%),18782 (~0%),234 (5%),38 (~0%),6 (~0%),1,1,2,3,off,off,1,1
05min 22sec,890112 (3.804ms),19216 (1%),18290 (~0%),286 (6%),30 (~0%),2 (~0%),1,1,1,5,off,off,1,1
05min 23sec,832512 (3.558ms),19801 (1%),18671 (~0%),306 (7%),30 (~0%),2 (~0%),1,1,1,6,off,off,1,1
05min 26sec,1067717 (4.767ms),18300 (1%),17262 (~0%),234 (5%),30 (~0%),5 (~0%),4,1,1,3,off,off,1,1
05min 28sec,717301 (2.869ms),25120 (2%),22217 (~0%),314 (7%),60 (~0%),1 (~0%),1,1,4,4,off,off,1,1
05min 20sec,731726 (3.267ms),26448 (2%),23602 (~0%),314 (7%),65 (~0%),1 (~0%),2,1,4,4,off,off,1,1
05min 16sec,693378 (2.774ms),43998 (3%),44488 (1%),354 (8%),97 (1%),1 (~0%),1,1,6,4,off,off,1,1
05min 15sec,674112 (2.881ms),26185 (2%),23155 (~0%),334 (7%),60 (~0%),1 (~0%),1,1,4,5,off,off,1,1
05min 13sec,717972 (2.872ms),33814 (2%),24149 (1%),314 (7%),60 (~0%),1 (~0%),1,4,4,4,off,off,1,1
05min 13sec,789972 (3.16ms),29884 (2%),20365 (~0%),266 (6%),38 (~0%),3 (~0%),1,4,2,4,off,off,1,1
04min 46sec,729904 (2.92ms),18654 (1%),21947 (~0%),186 (4%),60 (~0%),9 (~0%),1,5,4,4,off,off,1,1
05min 23sec,808591 (3.234ms),43947 (3%),44583 (1%),322 (7%),97 (1%),4 (~0%),1,1,6,3,off,off,1,1
05min 25sec,698191 (2.984ms),38091 (3%),40236 (1%),302 (6%),64 (~0%),4 (~0%),1,1,3,5,off,off,1,1
05min 21sec,674134 (2.881ms),27798 (2%),24484 (1%),334 (7%),64 (~0%),1 (~0%),3,1,4,5,off,off,1,1
05min 26sec,694049 (2.776ms),52755 (4%),49387 (2%),354 (8%),97 (1%),1 (~0%),1,4,6,4,off,off,1,1
05min 12sec,832514 (3.33ms),25086 (2%),22328 (~0%),282 (6%),60 (~0%),4 (~0%),1,1,4,3,off,off,1,1
05min 09sec,1634178 (6.537ms),42636 (3%),43599 (1%),306 (7%),100 (1%),2 (~0%),1,1,6,1,off,off,1,1
04min 45sec,705919 (2.824ms),21759 (1%),25608 (1%),218 (5%),82 (1%),5 (~0%),1,5,6,4,off,off,1,1
04min 13sec,681911 (2.914ms),19562 (1%),23133 (~0%),210 (4%),60 (~0%),5 (~0%),1,5,4,5,off,off,1,1
04min 47sec,688526 (3.074ms),27195 (2%),24020 (1%),334 (7%),64 (~0%),1 (~0%),2,1,4,5,off,off,1,1
04min 44sec,616512 (2.635ms),26748 (2%),23536 (~0%),354 (8%),60 (~0%),1 (~0%),1,1,4,6,off,off,1,1
04min 45sec,674134 (2.881ms),27745 (2%),24461 (1%),334 (7%),64 (~0%),1 (~0%),5,1,4,5,off,off,1,1
04min 45sec,674783 (2.884ms),34954 (2%),25087 (1%),334 (7%),60 (~0%),1 (~0%),1,4,4,5,off,off,1,1
04min 46sec,675983 (2.889ms),52796 (4%),29500 (1%),334 (7%),60 (~0%),1 (~0%),1,2,4,5,off,off,1,1
04min 37sec,674112 (2.881ms),26892 (2%),23270 (~0%),334 (7%),60 (~0%),1 (~0%),1,16,4,5,off,off,1,1
04min 45sec,525312 (2.255ms),36365 (3%),32226 (1%),258 (5%),60 (~0%),1 (~0%),1,1,4,12,off,off,1,1
04min 37sec,674112 (2.881ms),24797 (2%),22945 (~0%),334 (7%),60 (~0%),1 (~0%),1,8,4,5,off,off,1,1
04min 36sec,688512 (2.942ms),21929 (1%),19996 (~0%),306 (7%),38 (~0%),3 (~0%),1,1,2,6,off,off,1,1
04min 42sec,617183 (2.638ms),35577 (3%),25488 (1%),354 (8%),60 (~0%),1 (~0%),1,4,4,6,off,off,1,1
04min 37sec,640591 (2.738ms),38654 (3%),40623 (1%),322 (7%),64 (~0%),4 (~0%),1,1,3,6,off,off,1,1
04min 44sec,674134 (2.881ms),27823 (2%),24482 (1%),334 (7%),64 (~0%),1 (~0%),6,1,4,5,off,off,1,1
04min 32sec,1048501 (4.194ms),23981 (2%),21331 (~0%),266 (6%),60 (~0%),3 (~0%),1,1,4,2,off,off,1,1
04min 34sec,630926 (2.817ms),27758 (2%),24389 (1%),354 (8%),64 (~0%),1 (~0%),2,1,4,6,off,off,1,1
04min 33sec,501301 (2.152ms),41312 (3%),36014 (1%),264 (6%),69 (1%),1 (~0%),1,1,4,15,off,off,1,1
03min 56sec,624311 (2.668ms),19852 (1%),23520 (~0%),218 (5%),60 (~0%),5 (~0%),1,5,4,6,off,off,1,1
