compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2
04min 57sec,105885 (0.424ms),35035 (2%),26826 (1%),186 (4%),104 (1%),8 (~0%),1,8,2,4,off,off,1,1
04min 53sec,247183 (0.989ms),25191 (2%),19752 (~0%),158 (3%),88 (1%),8 (~0%),1,4,4,4,off,off,1,1
04min 32sec,112250 (0.449ms),27425 (2%),27018 (1%),186 (4%),104 (1%),8 (~0%),1,4,5,4,off,off,1,1
05min 07sec,112618 (0.45ms),28810 (2%),26962 (1%),154 (3%),104 (1%),8 (~0%),4,8,2,4,off,off,1,1
05min 09sec,123487 (0.494ms),27640 (2%),24790 (1%),202 (4%),104 (1%),8 (~0%),8,4,2,4,off,off,1,1
05min 14sec,128511 (0.514ms),27651 (2%),24806 (1%),202 (4%),104 (1%),8 (~0%),10,4,2,4,off,off,1,1
05min 06sec,202753 (0.811ms),53687 (4%),47572 (2%),194 (4%),212 (3%),8 (~0%),1,10,2,4,off,off,1,1
05min 03sec,105485 (0.422ms),38840 (3%),31764 (1%),186 (4%),152 (2%),8 (~0%),1,16,2,4,off,off,1,1
05min 08sec,202753 (0.811ms),53687 (4%),47572 (2%),194 (4%),212 (3%),8 (~0%),1,10,2,4,off,off,1,1
04min 31sec,110651 (0.443ms),22804 (1%),26698 (1%),186 (4%),104 (1%),8 (~0%),1,8,3,4,off,off,1,1
04min 52sec,245181 (0.981ms),20443 (1%),19144 (~0%),158 (3%),88 (1%),8 (~0%),1,8,4,4,off,off,1,1
04min 33sec,112178 (0.449ms),36049 (3%),33372 (1%),154 (3%),152 (2%),8 (~0%),4,16,2,4,off,off,1,1
04min 31sec,122539 (0.49ms),27279 (2%),25438 (1%),202 (4%),104 (1%),8 (~0%),8,8,2,4,off,off,1,1
04min 47sec,1115085 (4.685ms),39141 (3%),28857 (1%),314 (7%),11 (~0%),8 (~0%),1,80,2,4,off,off,1,1
04min 48sec,1115085 (4.685ms),39141 (3%),28857 (1%),314 (7%),11 (~0%),8 (~0%),1,80,2,4,off,off,1,1
04min 22sec,244781 (0.979ms),24438 (2%),24828 (1%),158 (3%),152 (2%),8 (~0%),1,16,4,4,off,off,1,1
05min 23sec,397885 (1.7ms),38297 (3%),33477 (1%),202 (4%),134 (1%),8 (~0%),1,16,2,5,off,off,1,1
04min 27sec,114620 (0.458ms),36065 (3%),33389 (1%),154 (3%),154 (2%),8 (~0%),5,16,2,4,off,off,1,1
04min 26sec,105473 (0.422ms),61646 (5%),57414 (2%),194 (4%),304 (4%),8 (~0%),1,20,2,4,off,off,1,1
03min 43sec,110249 (0.441ms),26514 (2%),31419 (1%),186 (4%),152 (2%),8 (~0%),1,16,5,4,off,off,1,1
04min 23sec,57485 (0.23ms),47630 (4%),38401 (1%),250 (5%),192 (2%),8 (~0%),1,16,2,8,off,off,1,1
60min 00sec,,,,,,,1,16,2,4,flatten,off,1,1
07min 03sec,47983 (0.207ms),141030 (11%),124338 (5%),222 (5%),231 (3%),8 (~0%),1,16,2,4,off,flatten,1,1
23min 51sec,66221 (0.298ms),187372 (15%),161253 (6%),90 (2%),316 (4%),8 (~0%),4,16,2,4,off,flatten,1,1
04min 49sec,59378 (0.238ms),44827 (3%),40009 (1%),218 (5%),192 (2%),8 (~0%),4,16,2,8,off,off,1,1
04min 49sec,60620 (0.242ms),44843 (3%),40026 (1%),218 (5%),194 (2%),8 (~0%),5,16,2,8,off,off,1,1
13min 14sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,4,off,flatten,1,1
04min 24sec,196781 (0.787ms),31726 (2%),30783 (1%),222 (5%),176 (2%),8 (~0%),1,16,4,8,off,off,1,1
07min 26sec,47983 (0.207ms),141030 (11%),124338 (5%),222 (5%),231 (3%),8 (~0%),1,16,2,5,off,flatten,1,1
05min 38sec,205885 (0.88ms),49011 (4%),37916 (1%),282 (6%),140 (2%),8 (~0%),1,16,2,10,off,off,1,1
06min 22sec,107302 (0.429ms),56568 (4%),47672 (2%),298 (6%),152 (2%),0 (~0%),8,16,2,4,off,off,4,1
47min 29sec,56560 (0.257ms),167998 (14%),196611 (8%),62 (1%),369 (5%),8 (~0%),4,16,4,4,off,flatten,1,1
48min 22sec,57738 (0.262ms),168018 (14%),196783 (8%),62 (1%),371 (5%),8 (~0%),5,16,4,4,off,flatten,1,1
23min 25sec,67535 (0.304ms),187388 (15%),161428 (6%),90 (2%),318 (4%),8 (~0%),5,16,2,4,off,flatten,1,1
23min 24sec,71591 (0.322ms),187378 (15%),161405 (6%),90 (2%),316 (4%),8 (~0%),8,16,2,4,off,flatten,1,1
17min 41sec,52807 (0.242ms),141116 (11%),170025 (7%),290 (6%),234 (3%),0 (~0%),1,16,5,4,off,flatten,1,1
17min 36sec,52807 (0.242ms),141116 (11%),170025 (7%),290 (6%),234 (3%),0 (~0%),1,16,5,4,off,flatten,1,1
13min 23sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,5,off,flatten,1,1
07min 04sec,47983 (0.207ms),141030 (11%),124338 (5%),222 (5%),231 (3%),8 (~0%),1,16,2,8,off,flatten,1,1
47min 32sec,61386 (0.279ms),168004 (14%),196760 (8%),62 (1%),369 (5%),8 (~0%),8,16,4,4,off,flatten,1,1
48min 32sec,63810 (0.29ms),168015 (14%),196934 (8%),62 (1%),369 (5%),8 (~0%),10,16,4,4,off,flatten,1,1
47min 21sec,57738 (0.262ms),168018 (14%),196783 (8%),62 (1%),371 (5%),8 (~0%),5,16,4,5,off,flatten,1,1
17min 35sec,52807 (0.242ms),141116 (11%),170025 (7%),290 (6%),234 (3%),0 (~0%),1,16,5,5,off,flatten,1,1
13min 00sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,8,off,flatten,1,1
12min 51sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,8,off,flatten,1,1
04min 23sec,122060 (0.488ms),36072 (3%),33399 (1%),154 (3%),152 (2%),8 (~0%),8,16,2,4,off,off,80,1
04min 58sec,158176 (0.633ms),44304 (3%),36689 (1%),190 (4%),152 (2%),16 (1%),8,16,2,4,off,off,1,8
48min 19sec,71143 (0.323ms),168009 (14%),196925 (8%),62 (1%),369 (5%),8 (~0%),16,16,4,4,off,flatten,1,1
48min 23sec,76026 (0.346ms),168012 (14%),197097 (8%),62 (1%),369 (5%),8 (~0%),20,16,4,4,off,flatten,1,1
48min 59sec,61386 (0.279ms),168004 (14%),196760 (8%),62 (1%),369 (5%),8 (~0%),8,16,4,5,off,flatten,1,1
12min 51sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,10,off,flatten,1,1
13min 14sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,10,off,flatten,1,1
05min 55sec,107310 (0.429ms),55991 (4%),47762 (2%),298 (6%),152 (2%),0 (~0%),8,16,2,4,off,off,8,1
04min 26sec,122060 (0.488ms),36072 (3%),33399 (1%),154 (3%),152 (2%),8 (~0%),8,16,2,4,off,off,1,60
60min 00sec,,,,,,,80,16,4,4,off,flatten,1,1
48min 28sec,63810 (0.29ms),168015 (14%),196934 (8%),62 (1%),369 (5%),8 (~0%),10,16,4,5,off,flatten,1,1
48min 11sec,56560 (0.257ms),167998 (14%),196611 (8%),62 (1%),369 (5%),8 (~0%),4,16,4,5,off,flatten,1,1
12min 55sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,16,off,flatten,1,1
13min 01sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,16,off,flatten,1,1
24min 21sec,47901 (0.221ms),155764 (13%),185312 (7%),254 (5%),234 (3%),0 (~0%),1,16,6,5,off,flatten,1,1
24min 34sec,47901 (0.221ms),155764 (13%),185312 (7%),254 (5%),234 (3%),0 (~0%),1,16,6,4,off,flatten,1,1
13min 09sec,46781 (0.214ms),115310 (9%),141292 (5%),222 (5%),231 (3%),8 (~0%),1,4,4,5,off,flatten,1,1
48min 39sec,71143 (0.323ms),168009 (14%),196925 (8%),62 (1%),369 (5%),8 (~0%),16,16,4,5,off,flatten,1,1
47min 49sec,76026 (0.346ms),168012 (14%),197097 (8%),62 (1%),369 (5%),8 (~0%),20,16,4,5,off,flatten,1,1
13min 02sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,20,off,flatten,1,1
12min 56sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,20,off,flatten,1,1
60min 00sec,,,,,,,1,16,10,4,off,flatten,1,1
60min 00sec,,,,,,,1,16,10,5,off,flatten,1,1
60min 00sec,,,,,,,80,16,4,4,off,flatten,1,4
60min 00sec,,,,,,,80,16,4,4,off,flatten,1,8
60min 00sec,,,,,,,80,16,4,5,off,flatten,1,1
60min 00sec,,,,,,,1,16,12,5,off,flatten,1,1
13min 16sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,80,off,flatten,1,1
13min 17sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,80,off,flatten,1,1
60min 00sec,,,,,,,1,16,10,5,off,flatten,1,8
29min 37sec,105517 (0.489ms),289707 (24%),358602 (15%),86 (1%),193 (2%),4 (~0%),1,16,10,5,off,flatten,1,4
27min 24sec,117349 (0.543ms),226637 (19%),286509 (12%),86 (1%),185 (2%),0 (~0%),1,16,10,5,off,flatten,1,2
07min 59sec,69021 (0.291ms),122623 (10%),110417 (4%),222 (5%),292 (4%),8 (~0%),1,16,1,5,off,flatten,1,1
48min 53sec,54252 (0.247ms),167995 (14%),196461 (8%),62 (1%),369 (5%),8 (~0%),2,16,4,4,off,flatten,1,1
48min 38sec,54252 (0.247ms),167995 (14%),196461 (8%),62 (1%),369 (5%),8 (~0%),2,16,4,5,off,flatten,1,1
60min 00sec,,,,,,,1,16,12,4,off,flatten,1,1
60min 00sec,,,,,,,1,16,15,5,off,flatten,1,1
60min 00sec,,,,,,,1,16,20,5,off,flatten,1,1
05min 29sec,767981 (3.282ms),24389 (2%),28054 (1%),174 (4%),134 (1%),8 (~0%),1,16,4,5,off,off,1,1
60min 00sec,,,,,,,1,16,10,5,off,flatten,2,1
60min 00sec,,,,,,,1,16,10,5,off,flatten,4,1
03min 25sec,533981 (2.136ms),13542 (1%),11464 (~0%),94 (2%),22 (~0%),16 (1%),1,1,1,1,off,off,1,1
05min 44sec,399341 (1.597ms),14543 (1%),11986 (~0%),78 (1%),38 (~0%),8 (~0%),1,1,6,1,off,off,1,1
05min 52sec,527969 (2.112ms),39955 (3%),45415 (1%),102 (2%),286 (4%),16 (1%),1,20,1,1,off,off,1,1
06min 16sec,169249 (0.677ms),86159 (7%),86446 (3%),102 (2%),560 (8%),8 (~0%),1,1,1,20,off,off,1,1
05min 52sec,665810 (2.663ms),15630 (1%),11789 (~0%),110 (2%),22 (~0%),16 (1%),10,1,1,1,off,off,1,1
09min 23sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,1,off,flatten,1,1
05min 51sec,639306 (2.557ms),15619 (1%),11770 (~0%),110 (2%),22 (~0%),16 (1%),8,1,1,1,off,off,1,1
05min 49sec,399341 (1.597ms),14623 (1%),11995 (~0%),78 (1%),38 (~0%),8 (~0%),1,1,10,1,off,off,1,1
08min 20sec,69261 (0.292ms),122780 (10%),109333 (4%),222 (5%),292 (4%),8 (~0%),1,10,1,1,off,flatten,1,1
60min 00sec,,,,,,,1,1,12,1,off,flatten,1,1
05min 29sec,189138 (0.757ms),96927 (8%),94539 (3%),62 (1%),682 (9%),8 (~0%),5,1,1,20,off,off,1,1
05min 07sec,174049 (0.696ms),85706 (7%),86233 (3%),102 (2%),560 (8%),8 (~0%),1,1,4,20,off,off,1,1
08min 15sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,16,off,flatten,1,1
05min 12sec,164849 (0.659ms),88444 (7%),88613 (3%),102 (2%),560 (8%),8 (~0%),1,5,1,20,off,off,1,1
10min 21sec,81640 (0.352ms),151183 (12%),130225 (5%),62 (1%),260 (3%),8 (~0%),4,1,1,1,off,flatten,1,1
10min 30sec,85210 (0.367ms),156419 (13%),132365 (5%),62 (1%),260 (3%),8 (~0%),10,10,1,1,off,flatten,1,1
07min 35sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,10,off,flatten,1,1
47min 56sec,122587 (0.565ms),349572 (29%),424207 (17%),110 (2%),190 (2%),8 (~0%),1,1,12,1,off,flatten,1,2
60min 00sec,,,,,,,1,10,12,1,off,flatten,1,1
60min 00sec,,,,,,,1,1,12,1,off,flatten,4,1
60min 00sec,,,,,,,1,1,10,1,off,flatten,1,1
07min 36sec,69901 (0.295ms),118458 (10%),108692 (4%),222 (5%),292 (4%),8 (~0%),1,5,1,1,off,flatten,1,1
07min 44sec,69261 (0.292ms),122780 (10%),109333 (4%),222 (5%),292 (4%),8 (~0%),1,10,1,10,off,flatten,1,1
10min 03sec,81930 (0.353ms),156408 (13%),132184 (5%),62 (1%),260 (3%),8 (~0%),8,10,1,1,off,flatten,1,1
60min 00sec,,,,,,,1,10,12,1,off,flatten,8,1
07min 49sec,69901 (0.295ms),118458 (10%),108692 (4%),222 (5%),292 (4%),8 (~0%),1,5,1,10,off,flatten,1,1
09min 37sec,53051 (0.241ms),106114 (8%),131751 (5%),250 (5%),234 (3%),6 (~0%),1,10,3,1,off,flatten,1,1
07min 54sec,69501 (0.293ms),122525 (10%),109397 (4%),222 (5%),292 (4%),8 (~0%),1,8,1,1,off,flatten,1,1
60min 00sec,,,,,,,1,10,10,10,off,flatten,1,1
07min 17sec,48223 (0.208ms),141187 (11%),123254 (5%),222 (5%),231 (3%),8 (~0%),1,10,2,1,off,flatten,1,1
10min 14sec,53051 (0.241ms),106114 (8%),131751 (5%),250 (5%),234 (3%),6 (~0%),1,10,3,1,off,flatten,1,1
10min 17sec,53291 (0.242ms),105859 (8%),131815 (5%),250 (5%),234 (3%),6 (~0%),1,8,3,1,off,flatten,1,1
07min 46sec,48223 (0.208ms),141187 (11%),123254 (5%),222 (5%),231 (3%),8 (~0%),1,10,2,5,off,flatten,1,1
07min 40sec,48223 (0.208ms),141187 (11%),123254 (5%),222 (5%),231 (3%),8 (~0%),1,10,2,4,off,flatten,1,1
16min 22sec,73840 (0.334ms),150934 (12%),176301 (7%),90 (2%),350 (5%),6 (~0%),10,10,3,1,off,flatten,1,1
60min 00sec,,,,,,,1,10,12,1,off,flatten,2,1
25min 46sec,48141 (0.222ms),155921 (13%),184228 (7%),254 (5%),234 (3%),0 (~0%),1,10,6,1,off,flatten,1,1
07min 53sec,48223 (0.208ms),141187 (11%),123254 (5%),222 (5%),231 (3%),8 (~0%),1,10,2,16,off,flatten,1,1
60min 00sec,,,,,,,1,1,10,1,off,flatten,8,1
19min 27sec,53047 (0.243ms),141273 (11%),168941 (7%),290 (6%),234 (3%),0 (~0%),1,10,5,1,off,flatten,1,1
13min 59sec,45821 (0.209ms),119814 (10%),142263 (6%),222 (5%),231 (3%),8 (~0%),1,10,4,1,off,flatten,1,1
26min 49sec,48381 (0.223ms),155666 (13%),184292 (7%),254 (5%),234 (3%),0 (~0%),1,8,6,1,off,flatten,1,1
60min 00sec,,,,,,,1,10,12,1,off,flatten,1,8
25min 18sec,47901 (0.221ms),155764 (13%),185312 (7%),254 (5%),234 (3%),0 (~0%),1,16,6,1,off,flatten,1,1
25min 16sec,48141 (0.222ms),155921 (13%),184228 (7%),254 (5%),234 (3%),0 (~0%),1,10,6,10,off,flatten,1,1
25min 06sec,47901 (0.221ms),155764 (13%),185312 (7%),254 (5%),234 (3%),0 (~0%),1,16,6,8,off,flatten,1,1
13min 10sec,46061 (0.21ms),119559 (10%),142327 (6%),222 (5%),231 (3%),8 (~0%),1,8,4,1,off,flatten,1,1
48min 50sec,61674 (0.28ms),168155 (14%),195676 (8%),62 (1%),369 (5%),8 (~0%),8,10,4,1,off,flatten,1,1
25min 30sec,47901 (0.221ms),155764 (13%),185312 (7%),254 (5%),234 (3%),0 (~0%),1,16,6,10,off,flatten,1,1
60min 00sec,,,,,,,1,10,12,1,off,flatten,80,1
13min 11sec,45821 (0.209ms),119814 (10%),142263 (6%),222 (5%),231 (3%),8 (~0%),1,10,4,16,off,flatten,1,1
13min 00sec,46061 (0.21ms),119559 (10%),142327 (6%),222 (5%),231 (3%),8 (~0%),1,8,4,16,off,flatten,1,1
13min 15sec,45581 (0.208ms),119657 (10%),143347 (6%),222 (5%),231 (3%),8 (~0%),1,16,4,16,off,flatten,1,1
13min 15sec,45501 (0.208ms),120065 (10%),144339 (6%),222 (5%),231 (3%),8 (~0%),1,20,4,1,off,flatten,1,1
53min 58sec,64110 (0.291ms),168166 (14%),195850 (8%),62 (1%),369 (5%),8 (~0%),10,10,4,16,off,flatten,1,1
12min 59sec,45821 (0.209ms),119814 (10%),142263 (6%),222 (5%),231 (3%),8 (~0%),1,10,4,8,off,flatten,1,1
47min 01sec,116427 (0.537ms),351694 (29%),424037 (17%),88 (2%),190 (2%),8 (~0%),1,10,12,1,off,flatten,1,4
47min 31sec,136747 (0.63ms),351727 (29%),424042 (17%),88 (2%),190 (2%),8 (~0%),1,10,12,1,off,flatten,1,2
03min 18sec,533981 (2.136ms),13542 (1%),11464 (~0%),94 (2%),22 (~0%),16 (1%),1,1,1,1,off,off,1,1
05min 53sec,536541 (2.217ms),14459 (1%),12176 (~0%),94 (2%),22 (~0%),16 (1%),1,5,1,1,off,off,1,1
05min 47sec,399343 (1.597ms),19406 (1%),15157 (~0%),94 (2%),38 (~0%),16 (1%),1,1,2,1,off,off,1,1
05min 56sec,559932 (2.24ms),17149 (1%),13282 (~0%),62 (1%),22 (~0%),16 (1%),2,1,1,1,off,off,1,1
05min 39sec,538781 (2.155ms),13111 (1%),11261 (~0%),94 (2%),22 (~0%),16 (1%),1,1,4,1,off,off,1,1
05min 51sec,586320 (2.345ms),17163 (1%),13294 (~0%),62 (1%),22 (~0%),16 (1%),4,1,1,1,off,off,1,1
05min 27sec,404251 (1.617ms),16326 (1%),18177 (~0%),250 (5%),38 (~0%),0 (~0%),1,1,3,1,off,off,1,1
05min 54sec,599538 (2.398ms),17183 (1%),13311 (~0%),62 (1%),24 (~0%),16 (1%),5,1,1,1,off,off,1,1
05min 11sec,116251 (0.465ms),22334 (1%),25417 (1%),186 (4%),104 (1%),8 (~0%),1,1,3,4,off,off,1,1
05min 17sec,442894 (1.772ms),20050 (1%),20161 (~0%),218 (5%),38 (~0%),0 (~0%),4,1,3,1,off,off,1,1
05min 40sec,207485 (0.83ms),29879 (2%),21079 (~0%),186 (4%),60 (~0%),8 (~0%),1,1,2,2,off,off,1,1
05min 26sec,406811 (1.681ms),17243 (1%),18889 (~0%),250 (5%),38 (~0%),0 (~0%),1,5,3,1,off,off,1,1
05min 22sec,399341 (1.597ms),14543 (1%),11986 (~0%),78 (1%),38 (~0%),8 (~0%),1,1,6,1,off,off,1,1
05min 59sec,403885 (1.726ms),32056 (2%),22344 (~0%),202 (4%),30 (~0%),8 (~0%),1,1,2,5,off,off,1,1
05min 23sec,118811 (0.491ms),23251 (1%),26129 (1%),186 (4%),104 (1%),8 (~0%),1,5,3,4,off,off,1,1
05min 33sec,111485 (0.446ms),34565 (2%),25545 (1%),186 (4%),104 (1%),8 (~0%),1,1,2,4,off,off,1,1
05min 29sec,202685 (0.811ms),30516 (2%),21850 (~0%),186 (4%),60 (~0%),8 (~0%),1,4,2,2,off,off,1,1
05min 22sec,245981 (0.984ms),20428 (1%),18070 (~0%),158 (3%),88 (1%),8 (~0%),1,1,1,4,off,off,1,1
05min 01sec,212251 (0.849ms),18774 (1%),20801 (~0%),186 (4%),60 (~0%),4 (~0%),1,1,3,2,off,off,1,1
05min 44sec,53953 (0.216ms),66984 (5%),58848 (2%),290 (6%),356 (5%),8 (~0%),1,1,2,10,off,off,1,1
05min 33sec,214442 (0.858ms),23638 (1%),21206 (~0%),154 (3%),60 (~0%),8 (~0%),2,1,2,2,off,off,1,1
05min 31sec,49553 (0.198ms),68612 (5%),61001 (2%),290 (6%),356 (5%),8 (~0%),1,5,2,10,off,off,1,1
05min 35sec,39485 (0.158ms),63992 (5%),51011 (2%),378 (8%),368 (5%),8 (~0%),1,1,2,16,off,off,1,1
04min 59sec,58719 (0.235ms),51730 (4%),60019 (2%),234 (5%),356 (5%),0 (~0%),1,1,3,10,off,off,1,1
05min 32sec,39485 (0.158ms),63992 (5%),51011 (2%),378 (8%),368 (5%),8 (~0%),1,1,2,16,off,off,1,1
05min 29sec,51473 (0.206ms),67890 (5%),59556 (2%),290 (6%),356 (5%),8 (~0%),1,2,2,10,off,off,1,1
05min 20sec,63485 (0.254ms),42989 (3%),32480 (1%),250 (5%),192 (2%),8 (~0%),1,1,2,8,off,off,1,1
05min 27sec,40370 (0.161ms),61226 (5%),52636 (2%),346 (8%),370 (5%),8 (~0%),5,1,2,16,off,off,1,1
05min 13sec,34685 (0.139ms),65184 (5%),51786 (2%),378 (8%),368 (5%),8 (~0%),1,4,2,16,off,off,1,1
06min 20sec,42045 (0.174ms),65365 (5%),51926 (2%),378 (8%),368 (5%),8 (~0%),1,5,2,16,off,off,1,1
04min 31sec,44251 (0.177ms),44994 (3%),51932 (2%),250 (5%),368 (5%),0 (~0%),1,1,3,16,off,off,1,1
05min 00sec,173981 (0.696ms),46353 (3%),44957 (1%),350 (8%),352 (5%),8 (~0%),1,1,1,16,off,off,1,1
07min 45sec,53983 (0.233ms),136089 (11%),121451 (5%),222 (5%),231 (3%),8 (~0%),1,1,2,80,off,off,1,1
05min 07sec,34298 (0.137ms),62393 (5%),53394 (2%),346 (8%),368 (5%),8 (~0%),4,4,2,16,off,off,1,1
05min 06sec,42860 (0.171ms),61230 (5%),52646 (2%),346 (8%),368 (5%),8 (~0%),8,1,2,16,off,off,1,1
04min 50sec,36285 (0.145ms),65066 (5%),51272 (2%),378 (8%),368 (5%),8 (~0%),1,2,2,16,off,off,1,1
04min 05sec,39451 (0.158ms),46186 (3%),52707 (2%),250 (5%),368 (5%),0 (~0%),1,4,3,16,off,off,1,1
04min 51sec,33885 (0.136ms),65424 (5%),52815 (2%),378 (8%),368 (5%),8 (~0%),1,8,2,16,off,off,1,1
04min 50sec,399085 (1.705ms),32788 (2%),23488 (~0%),202 (4%),38 (~0%),8 (~0%),1,4,2,5,off,off,1,1
04min 50sec,33885 (0.136ms),65424 (5%),52815 (2%),378 (8%),368 (5%),8 (~0%),1,8,2,16,off,off,1,1
04min 05sec,38651 (0.155ms),46426 (3%),53736 (2%),250 (5%),368 (5%),0 (~0%),1,8,3,16,off,off,1,1
05min 45sec,108513 (0.434ms),81828 (6%),72541 (3%),386 (8%),304 (4%),8 (~0%),1,20,2,16,off,off,1,1
04min 35sec,173181 (0.693ms),47320 (4%),46550 (1%),350 (8%),352 (5%),8 (~0%),1,8,4,16,off,off,1,1
05min 00sec,33418 (0.134ms),62621 (5%),54423 (2%),346 (8%),368 (5%),8 (~0%),4,8,2,16,off,off,1,1
