compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L6,__PIPE__L0,__PIPE__L1,__PIPE__L2,__PIPE__L5,__TILE__L0,__TILE__L1,__TILE__L2
04min 14sec,1189681 (5.084ms),23730 (2%),17686 (~0%),186 (4%),23 (~0%),0 (~0%),1,1,1,4,4,4,off,off,off,off,1,1,1
05min 00sec,1239293 (5.296ms),30999 (2%),49938 (2%),186 (4%),23 (~0%),0 (~0%),4,1,1,4,4,4,off,off,off,off,1,1,1
05min 05sec,1241293 (5.305ms),29098 (2%),48643 (2%),186 (4%),17 (~0%),0 (~0%),4,1,1,4,2,4,off,off,off,off,1,1,1
05min 16sec,1364241 (5.83ms),52186 (4%),39657 (1%),282 (6%),62 (~0%),0 (~0%),1,4,1,4,4,4,off,off,off,off,1,1,1
05min 15sec,1364241 (5.83ms),45238 (3%),33961 (1%),290 (6%),38 (~0%),0 (~0%),1,4,1,4,2,4,off,off,off,off,1,1,1
04min 30sec,1189681 (5.084ms),23861 (2%),17730 (~0%),186 (4%),23 (~0%),0 (~0%),1,1,4,4,4,4,off,off,off,off,1,1,1
04min 30sec,1191681 (5.093ms),22004 (1%),16756 (~0%),186 (4%),17 (~0%),0 (~0%),1,1,4,4,2,4,off,off,off,off,1,1,1
04min 27sec,1199121 (4.796ms),23749 (2%),17425 (~0%),186 (4%),23 (~0%),0 (~0%),1,1,1,2,4,4,off,off,off,off,1,1,1
04min 27sec,1201121 (4.804ms),21892 (1%),16451 (~0%),186 (4%),17 (~0%),0 (~0%),1,1,1,2,2,4,off,off,off,off,1,1,1
04min 24sec,1193373 (4.773ms),30624 (2%),29849 (1%),186 (4%),29 (~0%),0 (~0%),8,1,1,4,4,4,off,off,off,off,1,1,1
04min 42sec,1239293 (5.296ms),31130 (2%),49982 (2%),186 (4%),23 (~0%),0 (~0%),4,1,4,4,4,4,off,off,off,off,1,1,1
05min 24sec,1363188 (5.826ms),96714 (8%),69005 (2%),282 (6%),135 (1%),0 (~0%),1,10,1,4,4,4,off,off,off,off,1,1,1
04min 05sec,1189681 (5.084ms),23863 (2%),17730 (~0%),186 (4%),23 (~0%),0 (~0%),1,1,8,4,4,4,off,off,off,off,1,1,1
04min 59sec,1364241 (5.83ms),52591 (4%),39717 (1%),282 (6%),62 (~0%),0 (~0%),1,4,4,4,4,4,off,off,off,off,1,1,1
04min 08sec,1188681 (5.08ms),25955 (2%),20259 (~0%),186 (4%),35 (~0%),0 (~0%),1,1,4,4,8,4,off,off,off,off,1,1,1
04min 18sec,1075340 (4.615ms),43741 (3%),65400 (2%),202 (4%),38 (~0%),0 (~0%),1,1,4,4,4,5,off,off,off,off,1,1,1
04min 17sec,1075340 (4.615ms),43610 (3%),65356 (2%),202 (4%),38 (~0%),0 (~0%),1,1,1,4,4,5,off,off,off,off,1,1,1
04min 42sec,1124952 (4.828ms),50987 (4%),97649 (4%),202 (4%),38 (~0%),0 (~0%),4,1,4,4,4,5,off,off,off,off,1,1,1
05min 12sec,1124292 (4.825ms),67661 (5%),208609 (8%),202 (4%),38 (~0%),0 (~0%),5,1,4,4,4,5,off,off,off,off,1,1,1
05min 11sec,1242310 (5.332ms),60619 (5%),44900 (1%),298 (6%),76 (1%),0 (~0%),1,5,4,4,4,5,off,off,off,off,1,1,1
04min 59sec,1242641 (5.333ms),52716 (4%),39941 (1%),298 (6%),62 (~0%),0 (~0%),1,4,1,4,4,5,off,off,off,off,1,1,1
04min 17sec,1075340 (4.615ms),43743 (3%),65400 (2%),202 (4%),38 (~0%),0 (~0%),1,1,8,4,4,5,off,off,off,off,1,1,1
04min 19sec,781023 (3.366ms),50382 (4%),41971 (1%),282 (6%),31 (~0%),0 (~0%),1,1,4,4,4,10,off,off,off,off,1,1,1
04min 51sec,866415 (3.735ms),58412 (4%),63505 (2%),282 (6%),31 (~0%),0 (~0%),2,1,4,4,4,10,off,off,off,off,1,1,1
04min 45sec,830635 (3.58ms),57601 (4%),74223 (3%),282 (6%),31 (~0%),0 (~0%),4,1,4,4,4,10,off,off,off,off,1,1,1
04min 14sec,1079176 (4.612ms),50635 (4%),77567 (3%),202 (4%),44 (~0%),0 (~0%),8,1,4,4,4,5,off,off,off,off,1,1,1
05min 16sec,1105604 (4.745ms),105538 (8%),268660 (11%),202 (4%),38 (~0%),0 (~0%),10,1,4,4,4,5,off,off,off,off,1,1,1
04min 53sec,954641 (4.115ms),57397 (4%),42751 (1%),378 (8%),76 (1%),0 (~0%),1,4,4,4,4,10,off,off,off,off,1,1,1
04min 45sec,1242641 (5.333ms),53209 (4%),39999 (1%),298 (6%),62 (~0%),0 (~0%),1,4,4,4,4,5,off,off,off,off,1,1,1
05min 14sec,1241588 (5.329ms),97737 (8%),69347 (2%),298 (6%),135 (1%),0 (~0%),1,10,4,4,4,5,off,off,off,off,1,1,1
04min 31sec,653020 (2.791ms),81774 (6%),63187 (2%),122 (2%),71 (1%),0 (~0%),1,1,4,4,4,20,off,off,off,off,1,1,1
05min 29sec,738412 (3.156ms),89769 (7%),84721 (3%),122 (2%),71 (1%),0 (~0%),2,1,4,4,4,20,off,off,off,off,1,1,1
05min 24sec,702632 (3.003ms),88958 (7%),95439 (4%),122 (2%),71 (1%),0 (~0%),4,1,4,4,4,20,off,off,off,off,1,1,1
05min 54sec,701972 (3.0ms),105632 (8%),206396 (8%),122 (2%),71 (1%),0 (~0%),5,1,4,4,4,20,off,off,off,off,1,1,1
04min 35sec,784875 (3.354ms),57281 (4%),54137 (2%),282 (6%),37 (~0%),0 (~0%),8,1,4,4,4,10,off,off,off,off,1,1,1
05min 39sec,811287 (3.497ms),112171 (9%),245358 (10%),282 (6%),31 (~0%),0 (~0%),10,1,4,4,4,10,off,off,off,off,1,1,1
05min 26sec,988576 (4.225ms),64505 (5%),48157 (2%),218 (5%),64 (~0%),0 (~0%),1,2,4,4,4,20,off,off,off,off,1,1,1
05min 36sec,986641 (4.216ms),79054 (6%),57934 (2%),218 (5%),88 (1%),0 (~0%),1,4,4,4,4,20,off,off,off,off,1,1,1
05min 41sec,986310 (4.215ms),86464 (7%),62835 (2%),218 (5%),102 (1%),0 (~0%),1,5,4,4,4,20,off,off,off,off,1,1,1
05min 17sec,659694 (2.831ms),90256 (7%),82477 (3%),122 (2%),77 (1%),0 (~0%),16,1,4,4,4,20,off,off,off,off,1,1,1
06min 16sec,683284 (2.92ms),143537 (12%),266391 (11%),122 (2%),71 (1%),0 (~0%),10,1,4,4,4,20,off,off,off,off,1,1,1
08min 07sec,985408 (4.211ms),234855 (19%),160630 (6%),218 (5%),340 (4%),0 (~0%),1,25,4,4,4,20,off,off,off,off,1,1,1
07min 28sec,985388 (4.211ms),197768 (16%),136181 (5%),218 (5%),280 (4%),0 (~0%),1,20,4,4,4,20,off,off,off,off,1,1,1
06min 13sec,985588 (4.212ms),123582 (10%),87282 (3%),218 (5%),161 (2%),0 (~0%),1,10,4,4,4,20,off,off,off,off,1,1,1
05min 46sec,627340 (2.681ms),114871 (9%),224111 (9%),122 (2%),82 (1%),0 (~0%),1,1,4,4,4,25,off,off,off,off,1,1,1
04min 40sec,654116 (2.795ms),83378 (7%),64305 (2%),122 (2%),71 (1%),0 (~0%),80,1,4,4,4,20,off,off,off,off,1,1,1
15min 10sec,985519 (4.212ms),533743 (45%),424673 (17%),218 (5%),1240 (18%),0 (~0%),1,100,4,4,4,20,off,off,off,off,1,1,1
13min 17sec,282351 (1.217ms),280708 (23%),261240 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,4,4,100,off,off,off,off,1,1,1
13min 13sec,282351 (1.217ms),280708 (23%),261240 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,4,4,100,off,off,off,off,1,1,1
06min 04sec,712732 (3.046ms),122866 (10%),245642 (10%),122 (2%),82 (1%),0 (~0%),2,1,4,4,4,25,off,off,off,off,1,1,1
06min 08sec,676952 (2.893ms),122055 (10%),256360 (10%),122 (2%),82 (1%),0 (~0%),4,1,4,4,4,25,off,off,off,off,1,1,1
05min 11sec,671648 (2.87ms),100558 (8%),111494 (4%),122 (2%),71 (1%),0 (~0%),20,1,4,4,4,20,off,off,off,off,1,1,1
15min 55sec,509700 (2.327ms),308908 (26%),282489 (11%),122 (2%),908 (13%),0 (~0%),1,1,4,4,4,20,off,off,flatten,off,1,1,1
13min 55sec,325563 (1.403ms),287802 (24%),293459 (12%),322 (7%),550 (8%),0 (~0%),4,1,4,4,4,100,off,off,off,off,1,1,1
14min 50sec,324903 (1.4ms),304476 (25%),404352 (17%),322 (7%),550 (8%),0 (~0%),5,1,4,4,4,100,off,off,off,off,1,1,1
14min 38sec,324903 (1.4ms),304476 (25%),404352 (17%),322 (7%),550 (8%),0 (~0%),5,1,4,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,4,4,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,5,4,4,4,100,off,off,off,off,1,1,1
12min 56sec,282351 (1.217ms),280727 (23%),261243 (11%),322 (7%),550 (8%),0 (~0%),1,1,5,4,4,100,off,off,off,off,1,1,1
13min 02sec,282351 (1.217ms),280727 (23%),261243 (11%),322 (7%),550 (8%),0 (~0%),1,1,5,4,4,100,off,off,off,off,1,1,1
16min 39sec,286043 (1.228ms),292405 (24%),273368 (11%),322 (7%),556 (8%),0 (~0%),8,1,4,4,4,100,off,off,off,off,1,1,1
14min 55sec,306215 (1.32ms),342374 (28%),464659 (19%),322 (7%),550 (8%),0 (~0%),10,1,4,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,10,4,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,20,4,4,4,100,off,off,off,off,1,1,1
12min 54sec,282351 (1.217ms),280710 (23%),261240 (11%),322 (7%),550 (8%),0 (~0%),1,1,8,4,4,100,off,off,off,off,1,1,1
12min 59sec,282351 (1.217ms),280710 (23%),261240 (11%),322 (7%),550 (8%),0 (~0%),1,1,8,4,4,100,off,off,off,off,1,1,1
12min 44sec,280831 (1.21ms),280798 (23%),261439 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,5,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,4,4,5,100,off,off,off,off,1,1,1
13min 55sec,294579 (1.27ms),299402 (25%),309513 (13%),322 (7%),550 (8%),0 (~0%),20,1,4,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,25,4,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,100,4,4,4,100,off,off,off,off,1,1,1
16min 48sec,288705 (1.239ms),293989 (24%),280493 (11%),322 (7%),556 (8%),0 (~0%),16,1,4,4,4,100,off,off,off,off,1,1,1
14min 07sec,359823 (1.551ms),288676 (24%),282940 (11%),322 (7%),550 (8%),0 (~0%),2,1,4,5,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,4,4,5,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,5,4,5,4,100,off,off,off,off,1,1,1
12min 59sec,282351 (1.217ms),280732 (23%),261244 (11%),322 (7%),550 (8%),0 (~0%),1,1,10,4,4,100,off,off,off,off,1,1,1
14min 54sec,283416 (1.222ms),282133 (23%),262327 (11%),322 (7%),550 (8%),0 (~0%),80,1,4,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,20,4,5,4,100,off,off,off,off,1,1,1
15min 06sec,282351 (1.217ms),280709 (23%),261240 (11%),322 (7%),550 (8%),0 (~0%),1,1,16,4,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,10,4,5,4,100,off,off,off,off,1,1,1
14min 52sec,277231 (1.19ms),281101 (23%),262402 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,10,4,100,off,off,off,off,1,1,1
14min 42sec,281351 (1.213ms),273384 (23%),261941 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,4,8,100,off,off,off,off,1,1,1
17min 46sec,284219 (1.22ms),292490 (24%),273567 (11%),322 (7%),556 (8%),0 (~0%),8,1,4,5,4,100,off,off,off,off,1,1,1
14min 49sec,277231 (1.19ms),281101 (23%),262402 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,10,4,100,off,off,off,off,1,1,1
17min 13sec,320443 (1.375ms),288141 (24%),294621 (12%),322 (7%),550 (8%),0 (~0%),4,1,4,10,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,4,4,10,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,5,4,10,4,100,off,off,off,off,1,1,1
13min 22sec,277231 (1.19ms),281120 (23%),262405 (11%),322 (7%),550 (8%),0 (~0%),1,1,5,10,4,100,off,off,off,off,1,1,1
13min 28sec,275631 (1.178ms),281539 (23%),264322 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,20,4,100,off,off,off,off,1,1,1
13min 17sec,275631 (1.178ms),281539 (23%),264322 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,20,4,100,off,off,off,off,1,1,1
13min 07sec,279231 (1.198ms),275848 (23%),262150 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,10,2,100,off,off,off,off,1,1,1
04min 16sec,1203681 (5.188ms),31202 (2%),23044 (~0%),250 (5%),23 (~0%),0 (~0%),1,1,4,10,4,4,off,off,off,off,1,1,1
15min 44sec,318183 (1.36ms),305226 (25%),407498 (17%),322 (7%),550 (8%),0 (~0%),5,1,4,20,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,5,4,20,4,100,off,off,off,off,1,1,1
14min 00sec,275631 (1.178ms),281538 (23%),264322 (11%),322 (7%),550 (8%),0 (~0%),1,1,2,20,4,100,off,off,off,off,1,1,1
14min 00sec,275631 (1.178ms),281558 (23%),264325 (11%),322 (7%),550 (8%),0 (~0%),1,1,5,20,4,100,off,off,off,off,1,1,1
15min 08sec,275231 (1.181ms),281676 (23%),265282 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,25,4,100,off,off,off,off,1,1,1
14min 44sec,275231 (1.181ms),281676 (23%),265282 (11%),322 (7%),550 (8%),0 (~0%),1,1,4,25,4,100,off,off,off,off,1,1,1
14min 46sec,318443 (1.367ms),288689 (24%),297501 (12%),322 (7%),550 (8%),0 (~0%),4,1,4,25,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,4,4,25,4,100,off,off,off,off,1,1,1
60min 00sec,,,,,,,1,5,4,25,4,100,off,off,off,off,1,1,1
13min 57sec,275231 (1.181ms),281695 (23%),265285 (11%),322 (7%),550 (8%),0 (~0%),1,1,5,25,4,100,off,off,off,off,1,1,1
14min 20sec,268338 (1.152ms),320510 (27%),245240 (10%),322 (7%),697 (10%),0 (~0%),1,1,4,100,4,100,off,off,off,off,1,1,1
14min 21sec,268338 (1.152ms),320510 (27%),245240 (10%),322 (7%),697 (10%),0 (~0%),1,1,4,100,4,100,off,off,off,off,1,1,1
03min 25sec,3541441 (14.166ms),15031 (1%),12550 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,1,1,1,1,off,off,off,off,1,1,1
08min 20sec,3702368 (14.809ms),147967 (12%),88693 (3%),268 (6%),86 (1%),0 (~0%),1,25,1,1,1,1,off,off,off,off,1,1,1
06min 26sec,3702548 (14.81ms),69555 (5%),46410 (1%),238 (5%),42 (~0%),0 (~0%),1,10,1,1,1,1,off,off,off,off,1,1,1
05min 55sec,3526481 (15.07ms),29727 (2%),20308 (~0%),250 (5%),20 (~0%),0 (~0%),1,1,1,10,1,1,off,off,off,off,1,1,1
05min 58sec,815183 (3.484ms),46368 (3%),39817 (1%),282 (6%),28 (~0%),0 (~0%),1,1,1,1,1,10,off,off,off,off,1,1,1
05min 42sec,3541521 (14.166ms),15193 (1%),12600 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,10,1,1,1,off,off,off,off,1,1,1
06min 33sec,655180 (2.812ms),90757 (7%),69094 (2%),122 (2%),82 (1%),0 (~0%),1,1,1,1,1,25,off,off,off,off,1,1,1
05min 49sec,3559379 (14.238ms),22816 (1%),31253 (1%),154 (3%),17 (~0%),0 (~0%),16,1,1,1,1,1,off,off,off,off,1,1,1
12min 39sec,539920 (2.317ms),245023 (20%),242556 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,1,1,25,off,off,flatten,off,1,1,1
07min 45sec,1027148 (4.408ms),155639 (13%),97906 (4%),226 (5%),103 (1%),0 (~0%),1,20,1,1,1,25,off,off,off,off,1,1,1
16min 07sec,731237 (3.138ms),162351 (13%),103039 (4%),122 (2%),209 (3%),0 (~0%),1,1,1,1,10,25,off,off,off,off,1,1,1
04min 43sec,781103 (3.352ms),46870 (3%),41034 (1%),282 (6%),28 (~0%),0 (~0%),1,1,1,10,1,10,off,off,off,off,1,1,1
07min 00sec,685444 (2.942ms),152576 (12%),272292 (11%),122 (2%),82 (1%),0 (~0%),10,1,1,1,1,25,off,off,off,off,1,1,1
04min 32sec,1103180 (4.714ms),36379 (3%),34694 (1%),202 (4%),29 (~0%),0 (~0%),1,1,1,1,1,5,off,off,off,off,1,1,1
12min 39sec,539920 (2.317ms),245023 (20%),242556 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,1,1,10,off,off,flatten,off,1,1,1
04min 32sec,1224641 (4.899ms),20793 (1%),15350 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,1,1,1,4,off,off,off,off,1,1,1
09min 29sec,1622848 (7.479ms),2431578 (205%),222602 (9%),204 (4%),210 (3%),0 (~0%),1,25,1,1,1,10,off,off,flatten,off,1,1,1
11min 41sec,539920 (2.317ms),245023 (20%),242556 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,1,1,1,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,10,10,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,10,off,flatten,flatten,off,1,1,1
14min 40sec,549404 (2.358ms),255219 (21%),254099 (10%),122 (2%),911 (13%),0 (~0%),8,1,1,1,1,10,off,off,flatten,off,1,1,1
42min 02sec,532784 (2.287ms),411227 (34%),402134 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,1,16,25,off,off,flatten,off,1,1,1
54min 32sec,553528 (2.575ms),363077 (30%),360249 (15%),122 (2%),908 (13%),0 (~0%),1,1,10,1,1,10,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,10,25,off,off,flatten,off,1,1,1
34min 13sec,496704 (2.132ms),416687 (35%),406765 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,25,16,25,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,5,25,off,off,flatten,off,1,1,1
15min 21sec,549404 (2.358ms),255219 (21%),254099 (10%),122 (2%),911 (13%),0 (~0%),8,1,1,1,1,25,off,off,flatten,off,1,1,1
07min 47sec,1623750 (7.483ms),2405466 (203%),227496 (9%),154 (3%),377 (5%),0 (~0%),1,5,1,1,16,25,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,10,10,off,off,flatten,off,2,1,1
11min 46sec,1941338 (8.946ms),2448193 (207%),298902 (12%),204 (4%),210 (3%),0 (~0%),1,25,1,1,1,10,off,off,flatten,off,1,1,2
60min 00sec,,,,,,,1,1,5,1,16,25,off,off,flatten,off,1,1,1
34min 00sec,496704 (2.132ms),416687 (35%),406765 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,25,16,40,off,off,flatten,off,1,1,1
43min 43sec,532784 (2.287ms),411227 (34%),402134 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,1,16,10,off,off,flatten,off,1,1,1
42min 59sec,532784 (2.287ms),411227 (34%),402134 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,1,16,5,off,off,flatten,off,1,1,1
06min 43sec,1757087 (8.211ms),525313 (44%),87738 (3%),118 (2%),132 (1%),2 (~0%),1,1,1,1,10,10,off,off,flatten,off,2,1,4
34min 37sec,497104 (2.124ms),416539 (35%),405805 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,20,16,25,off,off,flatten,off,1,1,1
11min 12sec,496840 (2.132ms),248144 (20%),248458 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,8,25,off,off,flatten,off,1,1,1
41min 41sec,497104 (2.124ms),416539 (35%),405805 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,20,16,25,off,off,flatten,off,1,1,1
05min 33sec,1679527 (7.848ms),517906 (43%),70268 (2%),118 (2%),132 (1%),2 (~0%),1,1,1,1,10,10,off,off,flatten,off,2,1,8
60min 00sec,,,,,,,1,1,1,25,10,40,off,off,flatten,off,1,1,1
12min 30sec,1941338 (8.946ms),2448193 (207%),298902 (12%),204 (4%),210 (3%),0 (~0%),1,25,1,1,1,10,off,off,flatten,off,1,8,2
60min 00sec,,,,,,,1,1,1,25,10,25,off,off,flatten,off,1,1,1
35min 39sec,496704 (2.132ms),416687 (35%),406765 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,25,16,10,off,off,flatten,off,1,1,1
08min 57sec,1587670 (7.184ms),2430770 (205%),245792 (10%),122 (2%),389 (5%),0 (~0%),1,5,1,25,16,40,off,off,flatten,off,1,1,1
35min 51sec,496704 (2.132ms),416687 (35%),406765 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,25,16,25,off,off,flatten,flatten,1,1,1
39min 24sec,545292 (2.34ms),441403 (37%),550547 (23%),122 (2%),908 (13%),0 (~0%),5,1,1,25,16,25,off,off,flatten,off,1,1,1
37min 35sec,545952 (2.343ms),424703 (35%),439599 (18%),122 (2%),908 (13%),0 (~0%),4,1,1,25,16,40,off,off,flatten,off,1,1,1
13min 14sec,497840 (2.137ms),255474 (21%),247757 (10%),122 (2%),908 (13%),0 (~0%),1,1,1,25,4,40,off,off,flatten,off,1,1,1
38min 14sec,498704 (2.14ms),416103 (35%),403885 (17%),122 (2%),908 (13%),0 (~0%),1,1,1,10,16,40,off,off,flatten,off,1,1,1
10min 44sec,1586948 (7.181ms),2534928 (214%),321107 (13%),122 (2%),628 (9%),0 (~0%),1,10,1,25,16,25,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,5,25,16,25,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,5,1,16,25,off,off,flatten,off,2,1,1
07min 45sec,1755009 (8.201ms),524655 (44%),87937 (3%),140 (3%),129 (1%),2 (~0%),1,1,1,1,10,25,off,off,flatten,off,1,1,4
60min 00sec,,,,,,,1,1,8,25,16,25,off,off,flatten,off,1,1,1
07min 48sec,1589988 (7.195ms),2369176 (200%),200605 (8%),122 (2%),243 (3%),0 (~0%),1,2,1,25,16,40,off,off,flatten,off,1,1,1
60min 00sec,,,,,,,1,1,1,25,5,25,off,off,flatten,off,1,1,1
