compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PIPE__L0,__PIPE__L1,__PIPE__L2,__TILE__L0,__TILE__L1,__TILE__L2
04min 20sec,2242884 (8.972ms),55415 (4%),47805 (2%),70 (1%),213 (3%),20 (2%),4,1,4,8,8,off,off,off,1,1,1
03min 46sec,2329684 (9.956ms),46003 (3%),38587 (1%),102 (2%),172 (2%),20 (2%),4,88,1,8,8,off,off,off,1,1,1
03min 46sec,354204 (1.417ms),28998 (2%),26603 (1%),124 (2%),57 (~0%),0 (~0%),4,1,1,4,8,off,off,off,1,1,1
03min 46sec,354204 (1.417ms),28998 (2%),26603 (1%),124 (2%),57 (~0%),0 (~0%),4,1,1,8,4,off,off,off,1,1,1
04min 14sec,2234324 (8.937ms),57564 (4%),48592 (2%),70 (1%),212 (3%),20 (2%),4,2,1,8,8,off,off,off,1,1,1
06min 26sec,3973721 (15.895ms),350139 (29%),299595 (12%),916 (21%),1936 (28%),24 (2%),4,1,1,8,8,off,flatten,off,1,8,1
04min 18sec,2234324 (8.937ms),57564 (4%),48592 (2%),70 (1%),212 (3%),20 (2%),1,2,1,8,8,off,off,off,1,1,1
11min 06sec,206364 (0.825ms),54759 (4%),34696 (1%),156 (3%),77 (1%),0 (~0%),4,1,1,11,8,off,off,off,1,1,1
09min 00sec,206364 (0.825ms),54759 (4%),34696 (1%),156 (3%),77 (1%),0 (~0%),4,1,1,8,11,off,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,8,8,flatten,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,8,8,off,off,flatten,2,1,1
60min 00sec,,,,,,,4,1,1,8,8,off,off,flatten,8,1,1
60min 00sec,,,,,,,4,1,1,8,8,off,flatten,off,1,88,1
60min 00sec,,,,,,,1,1,1,8,8,flatten,off,off,1,1,8
07min 17sec,2262764 (9.051ms),93530 (7%),69798 (2%),102 (2%),288 (4%),20 (2%),4,8,1,11,8,off,off,off,1,1,1
06min 34sec,2256044 (9.024ms),71605 (6%),64554 (2%),222 (5%),285 (4%),10 (1%),4,8,1,8,11,off,off,off,1,1,1
07min 13sec,2256044 (9.024ms),71605 (6%),64554 (2%),222 (5%),285 (4%),10 (1%),4,1,8,11,8,off,off,off,1,1,1
19min 02sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),4,1,1,22,8,off,off,off,1,1,1
18min 47sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),4,1,1,8,22,off,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,8,8,off,flatten,off,8,1,1
36min 20sec,2262764 (9.548ms),127380 (10%),80762 (3%),166 (3%),214 (3%),20 (2%),4,8,1,22,8,off,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,88,8,off,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,8,88,off,off,off,1,1,1
08min 21sec,2241924 (8.968ms),113191 (9%),104642 (4%),362 (8%),500 (7%),0 (~0%),4,1,8,22,8,off,off,off,1,1,1
37min 47sec,2262764 (9.548ms),127380 (10%),80762 (3%),166 (3%),214 (3%),20 (2%),4,1,8,8,22,off,off,off,1,1,1
19min 24sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),5,1,1,22,8,off,off,off,1,1,1
19min 18sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),5,1,1,8,22,off,off,off,1,1,1
18min 42sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),1,1,1,22,8,off,off,off,1,1,1
18min 40sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),8,1,1,22,8,off,off,off,1,1,1
19min 15sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),8,1,1,8,22,off,off,off,1,1,1
36min 43sec,2281484 (9.627ms),127343 (10%),80698 (3%),166 (3%),213 (3%),20 (2%),4,11,1,22,8,off,off,off,1,1,1
08min 52sec,2218204 (8.873ms),114723 (9%),105849 (4%),330 (7%),483 (7%),0 (~0%),4,4,1,8,22,off,off,off,1,1,1
11min 58sec,2209644 (8.839ms),116872 (9%),106636 (4%),330 (7%),482 (7%),0 (~0%),4,1,2,22,8,off,off,off,1,1,1
08min 48sec,2218204 (8.873ms),114723 (9%),105849 (4%),330 (7%),483 (7%),0 (~0%),4,1,4,22,8,off,off,off,1,1,1
19min 03sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),10,1,1,22,8,off,off,off,1,1,1
18min 57sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),20,1,1,22,8,off,off,off,1,1,1
18min 49sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),10,1,1,8,22,off,off,off,1,1,1
36min 45sec,2360324 (9.959ms),124519 (10%),78084 (3%),254 (5%),213 (3%),20 (2%),4,22,1,22,8,off,off,off,1,1,1
08min 55sec,2260764 (9.043ms),113572 (9%),104835 (4%),362 (8%),483 (7%),0 (~0%),4,1,11,22,8,off,off,off,1,1,1
08min 29sec,2305044 (9.851ms),105946 (8%),96632 (4%),362 (8%),442 (6%),0 (~0%),4,1,88,22,8,off,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,22,8,flatten,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,22,8,off,off,flatten,1,1,1
18min 55sec,164284 (0.657ms),91761 (7%),56551 (2%),220 (5%),154 (2%),0 (~0%),40,1,1,22,8,off,off,off,1,1,1
36min 14sec,2239204 (9.448ms),127485 (10%),80758 (3%),166 (3%),213 (3%),20 (2%),4,4,1,22,8,off,off,off,1,1,1
09min 53sec,2259324 (9.037ms),87564 (7%),53151 (2%),210 (4%),171 (2%),20 (2%),4,88,1,22,8,off,off,off,1,1,1
09min 53sec,2331244 (9.325ms),113570 (9%),104845 (4%),362 (8%),483 (7%),0 (~0%),4,1,22,22,8,off,off,off,1,1,1
36min 57sec,2239204 (9.448ms),127485 (10%),80758 (3%),166 (3%),213 (3%),20 (2%),4,1,4,8,22,off,off,off,1,1,1
03min 21sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),1,1,1,1,1,off,off,off,1,1,1
05min 33sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),1,22,1,1,1,off,off,off,1,1,1
05min 36sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),1,1,22,1,1,off,off,off,1,1,1
16min 11sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),1,1,1,1,22,off,off,off,1,1,1
05min 43sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,8,1,off,off,off,1,1,1
05min 23sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),10,1,1,1,1,off,off,off,1,1,1
05min 36sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),1,11,1,1,1,off,off,off,1,1,1
05min 48sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,1,8,off,off,off,1,1,1
16min 17sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),1,1,1,22,1,off,off,off,1,1,1
03min 45sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),10,1,1,8,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,1,1,1
03min 35sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),1,1,1,1,4,off,off,off,1,1,1
03min 45sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),10,1,1,1,8,off,off,off,1,1,1
03min 30sec,1089684 (4.359ms),17978 (1%),17782 (~0%),124 (2%),40 (~0%),0 (~0%),1,1,1,1,2,off,off,off,1,1,1
03min 28sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),5,1,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,10,1,1,1,1,flatten,off,off,1,1,1
03min 30sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),5,1,1,1,1,off,off,off,1,1,1
04min 57sec,3937881 (15.752ms),296928 (25%),261680 (11%),1268 (29%),1789 (26%),0 (~0%),1,1,1,1,1,off,flatten,off,1,1,8
05min 01sec,3944281 (15.777ms),296924 (25%),261678 (11%),1262 (29%),1789 (26%),0 (~0%),1,1,1,1,1,off,flatten,off,1,1,4
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,8,1,1
03min 31sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),20,1,1,1,1,off,off,off,1,1,1
03min 33sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),10,1,8,1,1,off,off,off,1,1,1
03min 29sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
03min 33sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),10,1,11,1,1,off,off,off,1,1,1
03min 45sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,1,8,off,off,off,1,1,1
03min 39sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 50sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),10,1,4,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,10,1,1,1,1,off,flatten,off,1,1,1
05min 57sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),10,1,1,11,1,off,off,off,1,1,1
03min 48sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),10,1,1,4,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,8,4,1
03min 40sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),40,1,1,1,1,off,off,off,1,1,1
03min 46sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),10,22,1,1,1,off,off,off,1,1,1
04min 11sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),10,1,8,1,1,off,off,off,1,1,1
04min 12sec,1089684 (4.359ms),17978 (1%),17782 (~0%),124 (2%),40 (~0%),0 (~0%),1,1,1,2,1,off,off,off,1,1,1
04min 16sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,4,1,1,1,off,off,off,1,1,1
04min 05sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),4,1,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,8,2,1
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,2,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,4,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,4,1,8
60min 00sec,,,,,,,10,1,1,1,1,flatten,off,off,1,2,1
60min 00sec,,,,,,,10,1,1,1,1,flatten,off,off,1,4,1
06min 18sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),10,1,1,1,11,off,off,off,1,1,1
03min 41sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),2,1,1,1,1,off,off,off,1,1,1
03min 36sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),4,1,1,1,1,off,off,off,1,1,1
03min 45sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),10,8,1,1,1,off,off,off,1,1,1
14min 57sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),10,1,1,1,22,off,off,off,1,1,1
06min 27sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),10,1,1,11,1,off,off,off,1,1,1
04min 19sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,1,8,off,off,off,1,1,1
10min 37sec,4250561 (18.243ms),342125 (28%),538665 (22%),1108 (25%),1241 (18%),0 (~0%),1,1,1,1,1,off,flatten,off,1,4,1
06min 27sec,4244161 (16.977ms),208288 (17%),188422 (7%),1108 (25%),1255 (18%),0 (~0%),10,1,1,1,1,off,flatten,off,1,8,1
04min 05sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),10,11,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,flatten,off,4,88,8
05min 51sec,4244161 (16.977ms),208288 (17%),188422 (7%),1108 (25%),1255 (18%),0 (~0%),1,1,1,1,1,off,flatten,off,1,8,1
60min 00sec,,,,,,,10,1,1,1,1,off,flatten,off,2,1,1
09min 52sec,4250561 (18.243ms),342125 (28%),538665 (22%),1108 (25%),1241 (18%),0 (~0%),1,1,1,1,1,off,flatten,off,1,4,1
15min 16sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),10,1,1,22,1,off,off,off,1,1,1
05min 01sec,3937881 (15.752ms),296928 (25%),261680 (11%),1268 (29%),1789 (26%),0 (~0%),1,1,1,1,1,off,flatten,off,40,1,8
03min 40sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,4,1,1,1,off,off,off,1,1,1
16min 23sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),10,1,1,1,22,off,off,off,1,1,1
03min 08sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),1,1,1,1,1,off,off,off,1,1,1
05min 23sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),1,1,1,1,4,off,off,off,1,1,1
05min 26sec,2505404 (10.022ms),19197 (1%),16089 (~0%),234 (5%),42 (~0%),0 (~0%),1,1,2,1,1,off,off,off,1,1,1
05min 23sec,1089684 (4.359ms),17978 (1%),17782 (~0%),124 (2%),40 (~0%),0 (~0%),1,1,1,2,1,off,off,off,1,1,1
05min 23sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),4,1,1,1,1,off,off,off,1,1,1
05min 23sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),5,1,1,1,1,off,off,off,1,1,1
05min 23sec,1089684 (4.359ms),17978 (1%),17782 (~0%),124 (2%),40 (~0%),0 (~0%),1,1,1,1,2,off,off,off,1,1,1
05min 09sec,2505404 (10.022ms),19197 (1%),16089 (~0%),234 (5%),42 (~0%),0 (~0%),1,2,1,1,1,off,off,off,1,1,1
05min 08sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,1,8,1,1,off,off,off,1,1,1
04min 46sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),1,11,1,1,1,off,off,off,1,1,1
06min 50sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,11,1,off,off,off,1,1,1
07min 05sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),1,1,1,1,11,off,off,off,1,1,1
04min 56sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),1,1,1,4,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,off,off,flatten,1,1,1
04min 57sec,2556524 (11.621ms),19101 (1%),16414 (~0%),238 (5%),43 (~0%),0 (~0%),1,1,11,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,1
05min 24sec,4244201 (16.977ms),208293 (17%),188423 (7%),1108 (25%),1255 (18%),0 (~0%),1,1,1,1,1,off,off,flatten,1,1,8
06min 21sec,4306601 (17.226ms),240339 (20%),354465 (14%),1108 (25%),1255 (18%),0 (~0%),1,1,1,1,1,off,off,flatten,1,1,2
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,8
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,4,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,1,1
03min 50sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,4,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,4,1,8
05min 00sec,3937841 (15.751ms),296923 (25%),261679 (11%),1268 (29%),1789 (26%),0 (~0%),1,1,1,1,88,off,off,off,1,8,1
60min 00sec,,,,,,,1,1,1,88,1,off,off,off,1,1,1
14min 27sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),1,1,1,1,22,off,off,off,1,1,1
03min 38sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),1,1,22,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,8,1,8
03min 42sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,1,4,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,1,4
03min 40sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),8,1,1,1,1,off,off,off,1,1,1
03min 42sec,2627004 (13.135ms),19099 (1%),16418 (~0%),230 (5%),43 (~0%),2 (~0%),1,22,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,4,1,2
60min 00sec,,,,,,,1,1,1,1,88,off,off,off,8,1,8
03min 44sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,4
60min 00sec,,,,,,,1,1,1,1,1,flatten,off,off,1,1,2
05min 11sec,3944241 (15.777ms),296919 (25%),261677 (11%),1262 (29%),1789 (26%),0 (~0%),1,1,1,1,88,off,off,off,1,4,1
