compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
04min 37sec,561752 (2.247ms),9874 (~0%),8511 (~0%),78 (1%),14 (~0%),2 (~0%),1,5,4,off,off,1,1
04min 59sec,486447 (2.079ms),15138 (1%),8718 (~0%),150 (3%),14 (~0%),0 (~0%),1,1,5,off,off,1,1
05min 00sec,428847 (1.715ms),15821 (1%),9984 (~0%),158 (3%),25 (~0%),0 (~0%),1,1,6,off,off,1,1
05min 10sec,428848 (1.715ms),17707 (1%),10994 (~0%),172 (3%),25 (~0%),0 (~0%),2,1,6,off,off,1,1
04min 57sec,431562 (1.726ms),16158 (1%),11896 (~0%),148 (3%),25 (~0%),0 (~0%),3,1,6,off,off,1,1
05min 13sec,428847 (1.715ms),15823 (1%),9945 (~0%),158 (3%),25 (~0%),0 (~0%),4,1,6,off,off,1,1
05min 13sec,486448 (2.079ms),16891 (1%),9722 (~0%),164 (3%),14 (~0%),0 (~0%),2,1,5,off,off,1,1
04min 55sec,489162 (2.09ms),15611 (1%),10624 (~0%),144 (3%),14 (~0%),0 (~0%),3,1,5,off,off,1,1
05min 10sec,432149 (1.729ms),29217 (2%),13393 (~0%),158 (3%),25 (~0%),0 (~0%),1,2,6,off,off,1,1
05min 09sec,429749 (1.719ms),20595 (1%),11122 (~0%),158 (3%),25 (~0%),0 (~0%),1,4,6,off,off,1,1
05min 21sec,366447 (1.566ms),23220 (1%),12833 (~0%),254 (5%),28 (~0%),0 (~0%),1,1,10,off,off,1,1
04min 35sec,369162 (1.578ms),23049 (1%),14744 (~0%),208 (4%),28 (~0%),0 (~0%),3,1,10,off,off,1,1
04min 54sec,366447 (1.566ms),23223 (1%),12787 (~0%),254 (5%),28 (~0%),0 (~0%),4,1,10,off,off,1,1
04min 25sec,436361 (1.745ms),16122 (1%),11922 (~0%),148 (3%),25 (~0%),0 (~0%),5,1,6,off,off,1,1
04min 40sec,439347 (1.757ms),15717 (1%),9726 (~0%),126 (2%),25 (~0%),0 (~0%),10,1,6,off,off,1,1
04min 53sec,381749 (1.631ms),30922 (2%),15522 (~0%),254 (5%),28 (~0%),0 (~0%),1,4,10,off,off,1,1
04min 27sec,379352 (1.621ms),16867 (1%),12386 (~0%),158 (3%),28 (~0%),0 (~0%),1,5,10,off,off,1,1
04min 40sec,428847 (1.715ms),14740 (1%),9938 (~0%),158 (3%),25 (~0%),0 (~0%),1,8,6,off,off,1,1
04min 35sec,436948 (1.748ms),12743 (1%),8426 (~0%),104 (2%),25 (~0%),0 (~0%),1,10,6,off,off,1,1
04min 27sec,373961 (1.598ms),23034 (1%),14701 (~0%),208 (4%),28 (~0%),0 (~0%),5,1,10,off,off,1,1
04min 41sec,367347 (1.57ms),23016 (1%),12468 (~0%),206 (4%),28 (~0%),0 (~0%),6,1,10,off,off,1,1
04min 26sec,373961 (1.598ms),23034 (1%),14701 (~0%),208 (4%),28 (~0%),0 (~0%),5,1,10,off,off,1,1
04min 33sec,374548 (1.601ms),19352 (1%),10962 (~0%),136 (3%),28 (~0%),0 (~0%),1,10,10,off,off,1,1
04min 19sec,384152 (1.642ms),16883 (1%),12374 (~0%),158 (3%),28 (~0%),0 (~0%),4,5,10,off,off,1,1
05min 11sec,337647 (1.443ms),42082 (3%),23675 (1%),174 (4%),48 (~0%),0 (~0%),1,1,15,off,off,1,1
04min 16sec,340362 (1.455ms),37374 (3%),21734 (~0%),218 (5%),48 (~0%),0 (~0%),3,1,15,off,off,1,1
04min 43sec,337647 (1.443ms),42083 (3%),23628 (~0%),174 (4%),48 (~0%),0 (~0%),4,1,15,off,off,1,1
04min 05sec,367347 (1.57ms),28502 (2%),17198 (~0%),78 (1%),28 (~0%),0 (~0%),10,1,10,off,off,1,1
04min 13sec,366447 (1.566ms),23574 (1%),12864 (~0%),254 (5%),28 (~0%),0 (~0%),12,1,10,off,off,1,1
03min 46sec,331352 (1.416ms),31246 (2%),20706 (~0%),78 (1%),48 (~0%),0 (~0%),1,5,15,off,off,1,1
04min 14sec,366447 (1.566ms),23160 (1%),12778 (~0%),254 (5%),28 (~0%),0 (~0%),1,8,10,off,off,1,1
04min 14sec,366447 (1.566ms),23708 (2%),12908 (~0%),254 (5%),28 (~0%),0 (~0%),1,16,10,off,off,1,1
04min 36sec,313647 (1.34ms),53628 (4%),33237 (1%),46 (1%),56 (~0%),0 (~0%),1,1,20,off,off,1,1
04min 20sec,321162 (1.372ms),46979 (3%),30029 (1%),100 (2%),56 (~0%),0 (~0%),3,1,20,off,off,1,1
04min 47sec,318447 (1.361ms),53633 (4%),33196 (1%),46 (1%),56 (~0%),0 (~0%),4,1,20,off,off,1,1
03min 32sec,336152 (1.437ms),26561 (2%),18819 (~0%),122 (2%),48 (~0%),0 (~0%),3,5,15,off,off,1,1
03min 51sec,336152 (1.437ms),31260 (2%),20693 (~0%),78 (1%),48 (~0%),0 (~0%),4,5,15,off,off,1,1
04min 46sec,319349 (1.365ms),63857 (5%),34073 (1%),46 (1%),56 (~0%),0 (~0%),1,4,20,off,off,1,1
03min 54sec,326552 (1.396ms),31302 (2%),24502 (1%),78 (1%),56 (~0%),0 (~0%),1,5,20,off,off,1,1
05min 39sec,284847 (1.217ms),129257 (10%),97940 (4%),46 (1%),93 (1%),0 (~0%),1,1,30,off,off,1,1
05min 03sec,292362 (1.249ms),118801 (10%),92680 (3%),120 (2%),93 (1%),0 (~0%),3,1,30,off,off,1,1
05min 33sec,284847 (1.217ms),129255 (10%),97899 (4%),46 (1%),93 (1%),0 (~0%),4,1,30,off,off,1,1
04min 19sec,325961 (1.393ms),46907 (3%),30003 (1%),100 (2%),56 (~0%),0 (~0%),5,1,20,off,off,1,1
04min 34sec,324147 (1.385ms),47910 (4%),27758 (1%),118 (2%),56 (~0%),0 (~0%),6,1,20,off,off,1,1
05min 28sec,285749 (1.221ms),122691 (10%),99280 (4%),46 (1%),93 (1%),0 (~0%),1,4,30,off,off,1,1
03min 54sec,297752 (1.272ms),42337 (3%),39204 (1%),166 (3%),93 (1%),0 (~0%),1,5,30,off,off,1,1
05min 46sec,246747 (1.117ms),138969 (11%),75255 (3%),46 (1%),133 (1%),0 (~0%),1,1,60,off,off,1,1
07min 44sec,7395 (0.03ms),231828 (19%),153281 (6%),46 (1%),657 (9%),0 (~0%),2,1,60,off,off,1,1
06min 37sec,9197 (0.037ms),178737 (15%),146526 (6%),60 (1%),657 (9%),0 (~0%),3,1,60,off,off,1,1
07min 39sec,9387 (0.038ms),193306 (16%),152042 (6%),46 (1%),657 (9%),0 (~0%),4,1,60,off,off,1,1
07min 48sec,29669 (0.119ms),257935 (21%),235779 (9%),46 (1%),1314 (19%),0 (~0%),1,2,60,off,off,1,1
08min 19sec,26069 (0.104ms),366290 (30%),377503 (15%),46 (1%),2628 (38%),0 (~0%),1,4,60,off,off,1,1
06min 08sec,33032 (0.132ms),365705 (30%),424832 (17%),46 (1%),3285 (48%),0 (~0%),1,5,60,off,off,1,1
04min 08sec,337647 (1.351ms),22777 (1%),14567 (~0%),270 (6%),39 (~0%),0 (~0%),1,1,12,off,off,1,1
04min 09sec,337647 (1.351ms),22777 (1%),14567 (~0%),270 (6%),39 (~0%),0 (~0%),1,1,12,off,off,1,1
06min 53sec,9197 (0.037ms),191998 (16%),204185 (8%),60 (1%),657 (9%),0 (~0%),5,1,60,off,off,1,1
07min 21sec,7394 (0.03ms),198813 (16%),144995 (6%),38 (~0%),657 (9%),0 (~0%),6,1,60,off,off,1,1
06min 48sec,9197 (0.037ms),191998 (16%),204185 (8%),60 (1%),657 (9%),0 (~0%),5,1,60,off,off,1,1
07min 30sec,7394 (0.03ms),198813 (16%),144995 (6%),38 (~0%),657 (9%),0 (~0%),6,1,60,off,off,1,1
09min 27sec,4718 (0.019ms),406432 (34%),381793 (16%),46 (1%),2628 (38%),0 (~0%),2,4,60,off,off,1,1
07min 57sec,11082 (0.044ms),405858 (34%),429127 (18%),46 (1%),3285 (48%),0 (~0%),2,5,60,off,off,1,1
08min 12sec,6521 (0.026ms),359002 (30%),386394 (16%),60 (1%),2628 (38%),0 (~0%),3,4,60,off,off,1,1
15min 11sec,11080 (0.044ms),357531 (30%),437350 (18%),60 (1%),3285 (48%),0 (~0%),3,5,60,off,off,1,1
08min 27sec,26069 (0.104ms),366345 (30%),377433 (15%),46 (1%),2628 (38%),0 (~0%),4,4,60,off,off,1,1
07min 57sec,6521 (0.026ms),358774 (30%),386379 (16%),60 (1%),2628 (38%),0 (~0%),5,4,60,off,off,1,1
08min 31sec,26069 (0.104ms),366345 (30%),377433 (15%),46 (1%),2628 (38%),0 (~0%),4,4,60,off,off,1,1
07min 53sec,6521 (0.026ms),358774 (30%),386379 (16%),60 (1%),2628 (38%),0 (~0%),5,4,60,off,off,1,1
11min 11sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,60,off,off,1,1
08min 42sec,5320 (0.021ms),565309 (47%),688772 (29%),60 (1%),5256 (76%),0 (~0%),3,8,60,off,off,1,1
07min 42sec,24567 (0.098ms),565103 (47%),664229 (28%),46 (1%),5256 (76%),0 (~0%),4,8,60,off,off,1,1
08min 35sec,5320 (0.021ms),565071 (47%),688794 (29%),60 (1%),5256 (76%),0 (~0%),5,8,60,off,off,1,1
08min 22sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,60,off,off,1,1
12min 41sec,5797 (0.023ms),741279 (62%),827265 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,60,off,off,1,1
13min 27sec,5797 (0.023ms),741279 (62%),827265 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,60,off,off,1,1
09min 34sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,60,off,off,1,1
09min 39sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,60,off,off,1,1
20min 59sec,3218 (0.013ms),1157170 (97%),1307652 (55%),46 (1%),10512 (153%),0 (~0%),2,16,60,off,off,1,1
60min 00sec,,,,,,,2,8,60,flatten,off,1,1
12min 20sec,47626 (0.191ms),737673 (62%),842907 (35%),38 (~0%),6570 (96%),0 (~0%),2,10,60,off,off,2,1
25min 05sec,26880 (0.108ms),830742 (70%),886364 (37%),24 (~0%),6570 (96%),0 (~0%),2,10,60,off,off,4,1
07min 39sec,24567 (0.098ms),565556 (47%),664388 (28%),46 (1%),5256 (76%),0 (~0%),12,8,60,off,off,1,1
08min 28sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,60,off,off,1,1
07min 37sec,24567 (0.098ms),565556 (47%),664388 (28%),46 (1%),5256 (76%),0 (~0%),12,8,60,off,off,1,1
08min 25sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,60,off,off,1,1
08min 18sec,4718 (0.019ms),373392 (31%),373437 (15%),38 (~0%),2628 (38%),0 (~0%),6,4,60,off,off,1,1
06min 46sec,11082 (0.044ms),372590 (31%),420766 (17%),38 (~0%),3285 (48%),0 (~0%),10,5,60,off,off,1,1
07min 40sec,24567 (0.098ms),565440 (47%),664381 (28%),46 (1%),5256 (76%),0 (~0%),20,8,60,off,off,1,1
09min 12sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,60,off,off,1,1
07min 38sec,24567 (0.098ms),565440 (47%),664381 (28%),46 (1%),5256 (76%),0 (~0%),20,8,60,off,off,1,1
11min 29sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,60,off,off,1,1
60min 00sec,,,,,,,6,8,60,flatten,off,1,1
60min 00sec,,,,,,,10,8,60,flatten,off,1,1
08min 00sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),60,8,60,off,off,1,1
19min 42sec,3217 (0.013ms),1123902 (95%),1299291 (54%),38 (~0%),10512 (153%),0 (~0%),10,16,60,off,off,1,1
03min 59sec,1557747 (6.231ms),7504 (~0%),5821 (~0%),70 (1%),11 (~0%),2 (~0%),10,8,1,off,off,1,1
09min 35sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,60,off,flatten,1,1
12min 59sec,5797 (0.023ms),741279 (62%),827265 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,60,off,off,60,1
12min 00sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,60,off,off,1,8
60min 00sec,,,,,,,10,8,60,flatten,off,1,8
27min 55sec,3757 (0.015ms),1378499 (116%),1618169 (68%),24 (~0%),13140 (192%),0 (~0%),10,20,60,off,off,1,1
07min 01sec,11082 (0.044ms),372816 (31%),420765 (17%),38 (~0%),3285 (48%),0 (~0%),6,5,60,off,off,1,1
07min 57sec,7719 (0.031ms),264997 (22%),231716 (9%),38 (~0%),1314 (19%),0 (~0%),6,2,60,off,off,1,1
08min 02sec,7719 (0.031ms),264771 (22%),231717 (9%),38 (~0%),1314 (19%),0 (~0%),10,2,60,off,off,1,1
03min 53sec,880947 (3.524ms),8293 (~0%),6309 (~0%),86 (1%),11 (~0%),0 (~0%),6,8,2,off,off,1,1
03min 56sec,645747 (2.583ms),11225 (~0%),7349 (~0%),94 (2%),14 (~0%),0 (~0%),6,8,3,off,off,1,1
03min 53sec,655347 (2.621ms),11229 (~0%),7451 (~0%),94 (2%),14 (~0%),0 (~0%),10,8,3,off,off,1,1
03min 46sec,564147 (2.257ms),11245 (~0%),7820 (~0%),86 (1%),14 (~0%),0 (~0%),10,8,4,off,off,1,1
22min 54sec,3217 (0.013ms),1124128 (95%),1299290 (54%),38 (~0%),10512 (153%),0 (~0%),6,16,60,off,off,1,1
60min 00sec,,,,,,,10,80,60,off,off,1,1
11min 39sec,5797 (0.023ms),708236 (59%),818903 (34%),16 (~0%),6570 (96%),0 (~0%),6,10,60,off,off,1,1
03min 53sec,487347 (2.083ms),14005 (1%),8302 (~0%),122 (2%),14 (~0%),0 (~0%),6,8,5,off,off,1,1
03min 53sec,496947 (2.124ms),14009 (1%),8343 (~0%),122 (2%),14 (~0%),0 (~0%),10,8,5,off,off,1,1
03min 52sec,439347 (1.757ms),14642 (1%),9675 (~0%),126 (2%),25 (~0%),0 (~0%),10,8,6,off,off,1,1
11min 38sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,60,off,off,8,1
12min 41sec,5797 (0.023ms),741279 (62%),827265 (34%),24 (~0%),6570 (96%),0 (~0%),2,10,60,off,off,1,8
27min 44sec,3757 (0.015ms),1378725 (116%),1618168 (68%),24 (~0%),13140 (192%),0 (~0%),6,20,60,off,off,1,1
60min 00sec,,,,,,,6,80,60,off,off,1,1
03min 53sec,372147 (1.59ms),25865 (2%),17144 (~0%),78 (1%),28 (~0%),0 (~0%),10,8,10,off,off,1,1
03min 53sec,348147 (1.393ms),22423 (1%),14183 (~0%),214 (4%),39 (~0%),0 (~0%),10,8,12,off,off,1,1
03min 44sec,434547 (1.738ms),15525 (1%),9778 (~0%),158 (3%),25 (~0%),0 (~0%),6,8,6,off,off,1,1
09min 17sec,698356 (2.793ms),704612 (59%),818669 (34%),16 (~0%),6571 (96%),0 (~0%),10,10,60,off,off,1,2
09min 22sec,352756 (1.411ms),704608 (59%),819265 (34%),16 (~0%),6571 (96%),0 (~0%),10,10,60,off,off,1,4
03min 39sec,554547 (2.218ms),11282 (~0%),7783 (~0%),86 (1%),14 (~0%),0 (~0%),6,8,4,off,off,1,1
03min 55sec,367347 (1.57ms),22962 (1%),12413 (~0%),206 (4%),28 (~0%),0 (~0%),6,8,10,off,off,1,1
04min 24sec,343347 (1.467ms),37633 (3%),19256 (~0%),226 (5%),48 (~0%),0 (~0%),10,8,15,off,off,1,1
04min 24sec,324147 (1.385ms),47863 (4%),27733 (1%),118 (2%),56 (~0%),0 (~0%),10,8,20,off,off,1,1
09min 12sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,60,off,flatten,1,1
07min 43sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),1,8,60,off,off,1,1
07min 45sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),1,8,60,off,off,1,1
07min 10sec,7394 (0.03ms),213787 (18%),206118 (8%),38 (~0%),657 (9%),0 (~0%),10,1,60,off,off,1,1
07min 09sec,7394 (0.03ms),198813 (16%),144995 (6%),38 (~0%),657 (9%),0 (~0%),6,1,60,off,off,1,1
03min 45sec,1552947 (6.212ms),7461 (~0%),5811 (~0%),70 (1%),11 (~0%),2 (~0%),6,8,1,off,off,1,1
04min 01sec,338547 (1.354ms),22447 (1%),14135 (~0%),214 (4%),39 (~0%),0 (~0%),6,8,12,off,off,1,1
03min 51sec,890547 (3.562ms),8334 (~0%),6342 (~0%),86 (1%),11 (~0%),0 (~0%),10,8,2,off,off,1,1
05min 13sec,290547 (1.242ms),106251 (8%),93703 (3%),38 (~0%),93 (1%),0 (~0%),10,8,30,off,off,1,1
03min 21sec,1547247 (6.189ms),7533 (~0%),6202 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,1,off,off,1,1
06min 18sec,337647 (1.443ms),42082 (3%),23675 (1%),174 (4%),48 (~0%),0 (~0%),1,1,15,off,off,1,1
05min 32sec,1556847 (6.227ms),7824 (~0%),6263 (~0%),94 (2%),11 (~0%),0 (~0%),20,1,1,off,off,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,1,1
06min 13sec,313647 (1.34ms),53628 (4%),33237 (1%),46 (1%),56 (~0%),0 (~0%),1,1,20,off,off,1,1
05min 36sec,1547247 (6.189ms),7482 (~0%),6153 (~0%),94 (2%),11 (~0%),0 (~0%),1,8,1,off,off,1,1
05min 38sec,1555348 (6.221ms),6825 (~0%),4707 (~0%),40 (~0%),11 (~0%),2 (~0%),1,10,1,off,off,1,1
07min 13sec,284847 (1.217ms),129257 (10%),97940 (4%),46 (1%),93 (1%),0 (~0%),1,1,30,off,off,1,1
05min 34sec,1548149 (6.193ms),12381 (1%),7331 (~0%),94 (2%),11 (~0%),0 (~0%),1,4,1,off,off,1,1
05min 22sec,290547 (1.242ms),124463 (10%),93745 (3%),38 (~0%),93 (1%),0 (~0%),10,1,30,off,off,1,1
04min 02sec,337647 (1.351ms),22777 (1%),14567 (~0%),270 (6%),39 (~0%),0 (~0%),1,1,12,off,off,1,1
04min 49sec,292356 (1.249ms),118449 (10%),92252 (3%),120 (2%),93 (1%),0 (~0%),15,1,30,off,off,1,1
05min 16sec,284847 (1.217ms),111039 (9%),97891 (4%),46 (1%),93 (1%),0 (~0%),1,8,30,off,off,1,1
04min 02sec,366447 (1.566ms),23220 (1%),12833 (~0%),254 (5%),28 (~0%),0 (~0%),1,1,10,off,off,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,8,1
60min 00sec,,,,,,,1,1,1,flatten,off,1,8
60min 00sec,,,,,,,1,1,1,flatten,off,8,8
60min 00sec,,,,,,,1,1,1,flatten,off,8,4
07min 25sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,30,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,4,1
04min 30sec,337647 (1.443ms),42082 (3%),23675 (1%),174 (4%),48 (~0%),0 (~0%),1,1,15,off,off,1,1
05min 31sec,284847 (1.217ms),129750 (10%),98019 (4%),46 (1%),93 (1%),0 (~0%),1,16,30,off,off,1,1
03min 56sec,337647 (1.351ms),22717 (1%),14512 (~0%),270 (6%),39 (~0%),0 (~0%),1,8,12,off,off,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,60,1
04min 39sec,290547 (1.242ms),79653 (6%),47136 (1%),38 (~0%),93 (1%),0 (~0%),30,1,30,off,off,1,1
60min 00sec,,,,,,,1,1,30,flatten,off,1,1
04min 03sec,337647 (1.351ms),22777 (1%),14567 (~0%),270 (6%),39 (~0%),0 (~0%),1,1,12,off,off,1,1
05min 29sec,284847 (1.217ms),129750 (10%),98019 (4%),46 (1%),93 (1%),0 (~0%),1,16,30,off,off,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,60,8
60min 00sec,,,,,,,1,1,1,flatten,off,4,8
14min 53sec,24267 (0.097ms),1117025 (94%),1303360 (55%),46 (1%),10512 (153%),0 (~0%),1,16,30,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,8,80
07min 55sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,30,off,flatten,1,1
07min 13sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,30,off,flatten,1,1
05min 02sec,337647 (1.443ms),42082 (3%),23675 (1%),174 (4%),48 (~0%),0 (~0%),1,1,15,off,off,1,1
05min 54sec,284847 (1.217ms),129689 (10%),98476 (4%),46 (1%),93 (1%),0 (~0%),12,1,30,off,off,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,8,2
07min 00sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,10,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,60,80
08min 36sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,30,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,60,2
06min 51sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,15,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,2,1
07min 21sec,28767 (0.115ms),197375 (16%),160077 (6%),46 (1%),657 (9%),0 (~0%),12,1,30,off,flatten,1,1
07min 26sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,15,off,flatten,1,1
60min 00sec,,,,,,,1,1,1,flatten,off,4,4
10min 13sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,20,off,flatten,1,1
08min 43sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,30,off,flatten,1,1
10min 40sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,12,off,flatten,1,1
09min 23sec,7717 (0.031ms),203933 (17%),155940 (6%),38 (~0%),657 (9%),0 (~0%),6,1,30,off,flatten,1,1
10min 23sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,10,off,flatten,1,1
13min 56sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,30,off,flatten,1,1
10min 23sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
03min 12sec,1547247 (6.189ms),7533 (~0%),6202 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,1,off,off,1,1
05min 21sec,1564953 (6.26ms),7587 (~0%),6904 (~0%),94 (2%),11 (~0%),0 (~0%),1,5,1,off,off,1,1
05min 32sec,1548149 (6.193ms),12381 (1%),7331 (~0%),94 (2%),11 (~0%),0 (~0%),1,4,1,off,off,1,1
05min 33sec,1547247 (6.189ms),7531 (~0%),6156 (~0%),94 (2%),11 (~0%),0 (~0%),4,1,1,off,off,1,1
05min 38sec,880047 (3.52ms),8361 (~0%),6723 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,2,off,off,1,1
05min 34sec,1550549 (6.202ms),21537 (1%),9609 (~0%),94 (2%),11 (~0%),0 (~0%),1,2,1,off,off,1,1
05min 21sec,1554762 (6.219ms),8544 (~0%),7966 (~0%),92 (2%),11 (~0%),1 (~0%),3,1,1,off,off,1,1
05min 18sec,553647 (2.215ms),11385 (~0%),8203 (~0%),110 (2%),14 (~0%),0 (~0%),1,1,4,off,off,1,1
05min 02sec,1554761 (6.219ms),8517 (~0%),7916 (~0%),92 (2%),11 (~0%),1 (~0%),5,1,1,off,off,1,1
05min 13sec,553647 (2.215ms),11385 (~0%),8203 (~0%),110 (2%),14 (~0%),0 (~0%),1,1,4,off,off,1,1
08min 51sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,1,off,flatten,1,1
05min 18sec,644847 (2.579ms),11286 (~0%),7768 (~0%),102 (2%),14 (~0%),0 (~0%),1,1,3,off,off,1,1
05min 13sec,1552947 (6.212ms),7506 (~0%),5860 (~0%),70 (1%),11 (~0%),2 (~0%),6,1,1,off,off,1,1
05min 13sec,1548148 (6.193ms),8668 (~0%),6430 (~0%),94 (2%),11 (~0%),0 (~0%),2,1,1,off,off,1,1
04min 47sec,561162 (2.245ms),11879 (1%),9988 (~0%),108 (2%),14 (~0%),0 (~0%),3,1,4,off,off,1,1
05min 02sec,554549 (2.218ms),16509 (1%),9080 (~0%),110 (2%),14 (~0%),0 (~0%),1,4,4,off,off,1,1
07min 22sec,33032 (0.132ms),365705 (30%),424832 (17%),46 (1%),3285 (48%),0 (~0%),1,5,1,off,flatten,1,1
09min 17sec,7718 (0.031ms),236980 (20%),164297 (6%),46 (1%),657 (9%),0 (~0%),2,1,1,off,flatten,1,1
05min 06sec,486447 (2.079ms),15138 (1%),8718 (~0%),150 (3%),14 (~0%),0 (~0%),1,1,5,off,off,1,1
