compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__TILE__L0
03min 50sec,516762 (2.208ms),25679 (2%),32084 (1%),554 (12%),130 (1%),0 (~0%),5,5,10,off,1
05min 03sec,278107 (1.188ms),27091 (2%),33810 (1%),716 (16%),128 (1%),0 (~0%),1,10,10,off,1
60min 00sec,,,,,,,5,410,410,off,1
56min 14sec,94208 (0.403ms),6238989 (527%),929340 (39%),1738 (40%),1804 (26%),0 (~0%),1,410,10,flatten,1
06min 17sec,205309 (0.885ms),193045 (16%),358669 (15%),1220 (28%),3763 (55%),0 (~0%),10,410,10,off,1
06min 12sec,205309 (0.885ms),193045 (16%),358669 (15%),1220 (28%),3763 (55%),0 (~0%),10,410,10,off,1
04min 29sec,278829 (1.192ms),25557 (2%),31415 (1%),696 (16%),129 (1%),0 (~0%),5,10,10,off,1
03min 33sec,517152 (2.21ms),25685 (2%),32097 (1%),554 (12%),130 (1%),0 (~0%),3,5,10,off,1
05min 51sec,380257 (1.639ms),193856 (16%),356910 (15%),1066 (24%),3747 (54%),0 (~0%),5,410,5,off,1
05min 46sec,380257 (1.639ms),193857 (16%),356922 (15%),1066 (24%),3747 (54%),0 (~0%),3,410,5,off,1
60min 00sec,,,,,,,5,410,10,flatten,1
06min 29sec,205118 (0.884ms),192974 (16%),358690 (15%),1218 (28%),3765 (55%),0 (~0%),13,410,10,off,1
31min 45sec,81779 (0.349ms),628618 (53%),1147417 (48%),5002 (115%),5412 (79%),0 (~0%),3,410,410,off,1
04min 54sec,279219 (1.193ms),25563 (2%),31428 (1%),696 (16%),129 (1%),0 (~0%),3,10,10,off,1
15min 59sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,410,10,flatten,8
06min 30sec,205176 (0.884ms),194354 (16%),361129 (15%),1238 (28%),3762 (55%),0 (~0%),1,410,10,off,1
06min 17sec,268297 (1.156ms),190114 (16%),349900 (14%),962 (22%),3747 (54%),0 (~0%),3,410,2,off,1
24min 29sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,410,10,flatten,8
46min 08sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,410,10,flatten,8
60min 00sec,,,,,,,5,410,10,flatten,8
06min 24sec,204337 (0.881ms),192971 (16%),358604 (15%),1218 (28%),3763 (55%),0 (~0%),15,410,10,off,1
07min 01sec,174120 (0.751ms),267673 (22%),411127 (17%),80 (1%),3764 (55%),20 (2%),26,410,10,off,1
04min 44sec,591609 (2.366ms),42824 (3%),34384 (1%),462 (10%),130 (1%),0 (~0%),5,2,10,off,1
06min 02sec,348247 (1.501ms),190627 (16%),348595 (14%),962 (22%),3747 (54%),0 (~0%),5,410,1,off,1
60min 00sec,,,,,,,6,410,10,flatten,8
60min 00sec,,,,,,,10,410,10,flatten,8
46min 26sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,2,10,flatten,8
24min 55sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,2,10,flatten,8
24min 54sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,5,10,flatten,8
46min 31sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,410,5,flatten,8
60min 00sec,,,,,,,13,410,10,flatten,8
60min 00sec,,,,,,,15,410,10,flatten,8
47min 03sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,410,410,flatten,8
46min 54sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,5,10,flatten,8
46min 41sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,10,10,flatten,8
46min 39sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,5,10,flatten,8
46min 33sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,10,10,flatten,8
47min 11sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,410,2,flatten,8
60min 00sec,,,,,,,26,410,10,flatten,8
60min 00sec,,,,,,,30,410,10,flatten,8
60min 00sec,,,,,,,6,2,10,flatten,8
46min 35sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,1,10,flatten,8
46min 46sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,410,1,flatten,8
46min 45sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,2,2,flatten,8
60min 00sec,,,,,,,5,410,10,flatten,2
04min 00sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
05min 48sec,1037016 (4.148ms),16397 (1%),12119 (~0%),336 (7%),15 (~0%),0 (~0%),26,1,1,off,1
06min 37sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
06min 19sec,1051855 (4.207ms),17766 (1%),16679 (~0%),226 (5%),24 (~0%),0 (~0%),1,1,2,off,1
06min 28sec,734785 (2.939ms),34951 (2%),19286 (~0%),226 (5%),13 (~0%),0 (~0%),1,2,1,off,1
06min 34sec,987907 (3.952ms),26915 (2%),32060 (1%),482 (11%),128 (1%),0 (~0%),1,1,10,off,1
06min 17sec,1133319 (4.533ms),16031 (1%),12178 (~0%),206 (4%),14 (~0%),0 (~0%),15,1,1,off,1
05min 52sec,1163804 (4.655ms),22917 (1%),25606 (1%),298 (6%),56 (~0%),0 (~0%),1,1,5,off,1
06min 28sec,1132731 (4.531ms),16329 (1%),12221 (~0%),208 (4%),14 (~0%),0 (~0%),10,1,1,off,1
05min 28sec,342055 (1.462ms),19345 (1%),19405 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,2,off,1
04min 58sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
04min 19sec,659924 (2.82ms),17329 (1%),16930 (~0%),286 (6%),15 (~0%),0 (~0%),1,5,1,off,1
05min 18sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
05min 13sec,422739 (1.807ms),18329 (1%),15703 (~0%),440 (10%),32 (~0%),0 (~0%),5,10,1,off,1
04min 51sec,454020 (1.94ms),24166 (2%),27973 (1%),564 (13%),57 (~0%),0 (~0%),1,10,5,off,1
05min 25sec,590887 (2.364ms),44364 (3%),36790 (1%),482 (11%),128 (1%),0 (~0%),1,2,10,off,1
04min 44sec,766784 (3.067ms),40994 (3%),30246 (1%),330 (7%),56 (~0%),0 (~0%),1,2,5,off,1
04min 11sec,579974 (2.479ms),17515 (1%),18063 (~0%),318 (7%),23 (~0%),0 (~0%),1,5,2,off,1
04min 12sec,659924 (2.82ms),17329 (1%),16930 (~0%),286 (6%),15 (~0%),0 (~0%),1,5,1,off,1
04min 55sec,654835 (2.619ms),35215 (2%),21409 (~0%),226 (5%),24 (~0%),0 (~0%),1,2,2,off,1
05min 13sec,422931 (1.807ms),18637 (1%),15767 (~0%),442 (10%),32 (~0%),0 (~0%),10,10,1,off,1
05min 12sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
05min 08sec,423129 (1.808ms),18333 (1%),15713 (~0%),440 (10%),32 (~0%),0 (~0%),15,10,1,off,1
05min 12sec,342055 (1.462ms),19345 (1%),19405 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,2,off,1
55min 16sec,94208 (0.403ms),6238989 (527%),929340 (39%),1738 (40%),1804 (26%),0 (~0%),1,10,1,flatten,1
04min 48sec,343371 (1.467ms),18109 (1%),17075 (~0%),442 (10%),32 (~0%),0 (~0%),6,10,2,off,1
09min 51sec,505266 (2.159ms),237539 (20%),488960 (20%),1738 (40%),1804 (26%),0 (~0%),1,10,1,flatten,2
57min 32sec,94208 (0.403ms),6238989 (527%),929340 (39%),1738 (40%),1804 (26%),0 (~0%),1,10,2,flatten,1
04min 37sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
04min 24sec,454020 (1.94ms),24166 (2%),27973 (1%),564 (13%),57 (~0%),0 (~0%),1,10,5,off,1
15min 46sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,1,flatten,8
04min 22sec,654835 (2.619ms),35215 (2%),21409 (~0%),226 (5%),24 (~0%),0 (~0%),1,2,2,off,1
16min 33sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,8
16min 34sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,5,flatten,8
16min 47sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,2,flatten,8
04min 56sec,654835 (2.619ms),35215 (2%),21409 (~0%),226 (5%),24 (~0%),0 (~0%),1,2,2,off,1
05min 20sec,342981 (1.466ms),18114 (1%),17060 (~0%),442 (10%),32 (~0%),0 (~0%),10,10,2,off,1
16min 52sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,2,flatten,8
60min 00sec,,,,,,,1,10,1,flatten,390
16min 34sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,2,1,flatten,8
60min 00sec,,,,,,,10,1,1,flatten,8
17min 26sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,1,flatten,8
16min 57sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,10,flatten,8
17min 29sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,2,1,flatten,8
60min 00sec,,,,,,,6,10,1,flatten,8
16min 53sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,10,2,flatten,4
58min 26sec,94208 (0.403ms),6238989 (527%),929340 (39%),1738 (40%),1804 (26%),0 (~0%),1,10,2,flatten,390
16min 53sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,5,flatten,8
26min 31sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,10,1,flatten,8
17min 05sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,10,flatten,8
16min 33sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,5,1,flatten,8
17min 05sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,10,flatten,8
17min 04sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,8
16min 38sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,5,flatten,8
16min 43sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,2,flatten,8
16min 23sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,10,2,flatten,8
60min 00sec,,,,,,,10,1,1,flatten,4
60min 00sec,,,,,,,10,10,1,flatten,8
60min 00sec,,,,,,,10,1,1,flatten,390
60min 00sec,,,,,,,5,10,1,flatten,8
25min 10sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,10,5,flatten,8
16min 27sec,108327 (0.463ms),381072 (32%),830405 (35%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,8
60min 00sec,,,,,,,10,1,1,flatten,2
25min 20sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,1,1,flatten,8
25min 51sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,2,1,flatten,8
25min 25sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,1,5,flatten,8
24min 58sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,10,410,flatten,8
60min 00sec,,,,,,,6,10,1,flatten,4
60min 00sec,,,,,,,10,1,1,flatten,1
60min 00sec,,,,,,,6,10,1,flatten,2
25min 06sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,2,1,flatten,8
60min 00sec,,,,,,,6,10,1,flatten,1
25min 32sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,1,1,flatten,8
24min 59sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,2,5,flatten,8
60min 00sec,,,,,,,5,10,5,flatten,8
05min 46sec,432553 (1.856ms),36615 (3%),31652 (1%),480 (11%),34 (~0%),2 (~0%),2,10,1,off,8
24min 54sec,92991 (0.397ms),582175 (49%),1186913 (50%),3378 (78%),3608 (52%),0 (~0%),2,5,1,flatten,8
46min 51sec,88117 (0.377ms),857517 (72%),1609447 (68%),2536 (58%),5412 (79%),0 (~0%),3,10,1,flatten,8
03min 54sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
06min 32sec,1133365 (5.06ms),17745 (1%),14589 (~0%),226 (5%),14 (~0%),0 (~0%),2,1,1,off,1
06min 42sec,987907 (3.952ms),26915 (2%),32060 (1%),482 (11%),128 (1%),0 (~0%),1,1,10,off,1
06min 24sec,734785 (2.939ms),34951 (2%),19286 (~0%),226 (5%),13 (~0%),0 (~0%),1,2,1,off,1
05min 38sec,659924 (2.82ms),17329 (1%),16930 (~0%),286 (6%),15 (~0%),0 (~0%),1,5,1,off,1
06min 00sec,1163804 (4.655ms),22917 (1%),25606 (1%),298 (6%),56 (~0%),0 (~0%),1,1,5,off,1
06min 22sec,1051855 (4.207ms),17766 (1%),16679 (~0%),226 (5%),24 (~0%),0 (~0%),1,1,2,off,1
06min 38sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
05min 51sec,454020 (1.94ms),24166 (2%),27973 (1%),564 (13%),57 (~0%),0 (~0%),1,10,5,off,1
06min 07sec,423129 (1.808ms),18335 (1%),15716 (~0%),440 (10%),32 (~0%),0 (~0%),3,10,1,off,1
06min 31sec,278107 (1.188ms),27091 (2%),33810 (1%),716 (16%),128 (1%),0 (~0%),1,10,10,off,1
05min 07sec,661060 (2.825ms),16149 (1%),15107 (~0%),266 (6%),18 (~0%),0 (~0%),3,5,1,off,1
06min 24sec,422785 (1.807ms),20062 (1%),18136 (~0%),460 (10%),32 (~0%),0 (~0%),2,10,1,off,1
05min 27sec,532021 (2.274ms),22841 (1%),25920 (1%),414 (9%),57 (~0%),0 (~0%),1,5,5,off,1
06min 10sec,590887 (2.364ms),44364 (3%),36790 (1%),482 (11%),128 (1%),0 (~0%),1,2,10,off,1
06min 09sec,422931 (1.807ms),18637 (1%),15767 (~0%),442 (10%),32 (~0%),0 (~0%),10,10,1,off,1
06min 10sec,342055 (1.462ms),19345 (1%),19405 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,2,off,1
05min 59sec,422739 (1.807ms),18329 (1%),15703 (~0%),440 (10%),32 (~0%),0 (~0%),5,10,1,off,1
57min 06sec,260547 (1.113ms),6406558 (541%),1020488 (43%),1216 (28%),4511 (65%),0 (~0%),1,10,410,off,1
06min 16sec,279667 (1.249ms),27287 (2%),33843 (1%),716 (16%),129 (1%),0 (~0%),2,10,10,off,1
57min 31sec,260547 (1.113ms),6406558 (541%),1020488 (43%),1216 (28%),4511 (65%),0 (~0%),1,10,410,off,1
07min 23sec,349074 (1.505ms),191967 (16%),351129 (14%),982 (22%),3746 (54%),0 (~0%),1,410,1,off,1
04min 38sec,342835 (1.465ms),19539 (1%),19429 (~0%),460 (10%),32 (~0%),0 (~0%),2,10,2,off,1
04min 24sec,279219 (1.193ms),25563 (2%),31428 (1%),696 (16%),129 (1%),0 (~0%),3,10,10,off,1
04min 06sec,454800 (1.944ms),24297 (2%),28042 (1%),564 (13%),59 (~0%),0 (~0%),2,10,5,off,1
03min 33sec,516822 (2.209ms),27176 (2%),34159 (1%),574 (13%),130 (1%),0 (~0%),2,5,10,off,1
11min 15sec,473229 (2.022ms),525821 (44%),811324 (34%),1236 (28%),4513 (65%),0 (~0%),1,10,410,off,4
04min 22sec,278829 (1.192ms),25557 (2%),31415 (1%),696 (16%),129 (1%),0 (~0%),5,10,10,off,1
04min 23sec,989019 (3.956ms),25381 (2%),29655 (1%),462 (10%),130 (1%),0 (~0%),5,1,10,off,1
04min 26sec,279219 (1.193ms),25539 (2%),31418 (1%),696 (16%),131 (1%),0 (~0%),13,10,10,off,1
07min 15sec,686885 (2.935ms),405618 (34%),545511 (23%),1216 (28%),4512 (65%),0 (~0%),1,10,410,off,2
04min 24sec,279219 (1.193ms),25539 (2%),31418 (1%),696 (16%),131 (1%),0 (~0%),13,10,10,off,1
54min 59sec,260547 (1.113ms),6406558 (541%),1020488 (43%),1216 (28%),4511 (65%),0 (~0%),1,10,410,off,390
06min 54sec,260888 (1.115ms),407750 (34%),509886 (21%),1196 (27%),4512 (65%),0 (~0%),5,10,410,off,1
04min 25sec,342789 (1.465ms),17806 (1%),16996 (~0%),440 (10%),32 (~0%),0 (~0%),5,10,2,off,1
09min 24sec,283937 (1.213ms),486487 (41%),707865 (29%),1236 (28%),4513 (65%),0 (~0%),1,10,410,off,8
57min 22sec,261860 (1.119ms),6405300 (541%),1018094 (43%),1198 (27%),4512 (65%),0 (~0%),6,10,410,off,1
03min 54sec,516042 (2.205ms),27046 (2%),34089 (1%),574 (13%),128 (1%),0 (~0%),1,5,10,off,1
07min 05sec,573668 (2.295ms),425009 (35%),513033 (21%),962 (22%),4512 (65%),0 (~0%),5,2,410,off,1
07min 27sec,261278 (1.117ms),407756 (34%),509901 (21%),1196 (27%),4512 (65%),0 (~0%),3,10,410,off,1
05min 06sec,279021 (1.192ms),25865 (2%),31469 (1%),698 (16%),129 (1%),0 (~0%),10,10,10,off,1
06min 25sec,498818 (2.132ms),407610 (34%),510296 (21%),1054 (24%),4512 (65%),0 (~0%),5,5,410,off,1
56min 53sec,261327 (1.117ms),6406767 (541%),1020529 (43%),1216 (28%),4512 (65%),0 (~0%),2,10,410,off,1
07min 05sec,261279 (1.117ms),407746 (34%),509979 (21%),1196 (27%),4514 (65%),0 (~0%),13,10,410,off,1
04min 10sec,454752 (1.943ms),22800 (1%),25967 (1%),544 (12%),59 (~0%),0 (~0%),5,10,5,off,1
06min 54sec,971078 (3.884ms),407566 (34%),508368 (21%),962 (22%),4512 (65%),0 (~0%),5,1,410,off,1
60min 00sec,,,,,,,5,10,410,flatten,1
60min 00sec,,,,,,,5,10,410,flatten,2
57min 08sec,261470 (1.117ms),6405306 (541%),1018079 (43%),1198 (27%),4512 (65%),0 (~0%),10,10,410,off,1
08min 37sec,174130 (0.744ms),507150 (42%),671507 (28%),58 (1%),4513 (65%),20 (2%),26,10,410,off,1
08min 09sec,345200 (1.475ms),505318 (42%),639614 (27%),64 (1%),4513 (65%),10 (1%),26,5,410,off,1
06min 49sec,261278 (1.117ms),407754 (34%),509897 (21%),1196 (27%),4512 (65%),0 (~0%),15,10,410,off,1
59min 33sec,260547 (1.113ms),6406558 (541%),1020488 (43%),1216 (28%),4511 (65%),0 (~0%),390,10,410,off,1
03min 59sec,194641 (0.832ms),18621 (1%),16954 (~0%),186 (4%),32 (~0%),20 (2%),26,10,2,off,1
08min 29sec,441542 (1.766ms),524062 (44%),677721 (28%),208 (4%),4513 (65%),0 (~0%),26,2,410,off,1
03min 59sec,279921 (1.196ms),19153 (1%),15665 (~0%),186 (4%),32 (~0%),20 (2%),26,10,1,off,1
08min 26sec,865225 (3.461ms),506628 (42%),673060 (28%),208 (4%),4513 (65%),0 (~0%),26,1,410,off,1
04min 13sec,345185 (1.475ms),22981 (1%),23620 (~0%),54 (1%),59 (~0%),30 (3%),26,10,5,off,1
09min 56sec,283554 (1.212ms),487290 (41%),704291 (29%),1236 (28%),4513 (65%),0 (~0%),2,10,410,off,4
60min 00sec,,,,,,,26,10,410,flatten,1
57min 40sec,261327 (1.117ms),6406767 (541%),1020529 (43%),1216 (28%),4512 (65%),0 (~0%),2,10,410,off,390
08min 30sec,175459 (0.75ms),507215 (42%),671465 (28%),58 (1%),4511 (65%),20 (2%),30,10,410,off,1
09min 57sec,270378 (1.155ms),495085 (41%),708938 (29%),1236 (28%),4513 (65%),0 (~0%),2,10,410,off,8
04min 00sec,174145 (0.744ms),26778 (2%),31370 (1%),58 (1%),130 (1%),40 (4%),26,10,10,off,1
12min 04sec,473424 (2.023ms),528217 (44%),802922 (33%),1236 (28%),4513 (65%),0 (~0%),2,10,410,off,2
60min 00sec,,,,,,,26,410,410,off,1
09min 39sec,273842 (1.17ms),489690 (41%),703424 (29%),1214 (28%),4513 (65%),0 (~0%),6,10,410,off,2
13min 22sec,267253 (1.142ms),516216 (43%),729643 (30%),114 (2%),4512 (65%),0 (~0%),6,10,410,off,4
13min 18sec,263909 (1.128ms),516270 (43%),729658 (30%),74 (1%),4512 (65%),10 (1%),6,10,410,off,8
60min 00sec,,,,,,,5,10,410,flatten,4
60min 00sec,,,,,,,5,10,410,flatten,8
60min 00sec,,,,,,,5,10,410,flatten,390
57min 36sec,261860 (1.119ms),6405300 (541%),1018094 (43%),1198 (27%),4512 (65%),0 (~0%),6,10,410,off,390
04min 04sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
05min 07sec,659924 (2.82ms),17329 (1%),16930 (~0%),286 (6%),15 (~0%),0 (~0%),1,5,1,off,1
06min 01sec,987907 (3.952ms),26915 (2%),32060 (1%),482 (11%),128 (1%),0 (~0%),1,1,10,off,1
06min 01sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
05min 46sec,734785 (2.939ms),34951 (2%),19286 (~0%),226 (5%),13 (~0%),0 (~0%),1,2,1,off,1
54min 33sec,94208 (0.403ms),6238989 (527%),929340 (39%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,1
05min 28sec,1163804 (4.655ms),22917 (1%),25606 (1%),298 (6%),56 (~0%),0 (~0%),1,1,5,off,1
05min 48sec,1051855 (4.207ms),17766 (1%),16679 (~0%),226 (5%),24 (~0%),0 (~0%),1,1,2,off,1
03min 17sec,661060 (2.825ms),16145 (1%),15102 (~0%),266 (6%),18 (~0%),0 (~0%),15,5,1,off,1
03min 31sec,532021 (2.274ms),22841 (1%),25920 (1%),414 (9%),57 (~0%),0 (~0%),1,5,5,off,1
55min 47sec,94208 (0.403ms),6238989 (527%),929340 (39%),1738 (40%),1804 (26%),0 (~0%),1,5,1,flatten,1
15min 09sec,293089 (1.253ms),372116 (31%),815174 (34%),1738 (40%),1804 (26%),0 (~0%),1,1,1,flatten,4
03min 17sec,579974 (2.479ms),17515 (1%),18063 (~0%),318 (7%),23 (~0%),0 (~0%),1,5,2,off,1
04min 30sec,422785 (1.807ms),20062 (1%),18136 (~0%),460 (10%),32 (~0%),0 (~0%),2,10,1,off,1
03min 21sec,516042 (2.205ms),27046 (2%),34089 (1%),574 (13%),128 (1%),0 (~0%),1,5,10,off,1
