compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PARA__L8,__PIPE__L0,__PIPE__L1,__PIPE__L2,__PIPE__L3,__PIPE__L4,__PIPE__L5,__TILE__L0,__TILE__L1,__TILE__L2,__TILE__L3,__TILE__L4,__TILE__L5
07min 09sec,     ?,171637 (14%),217011 (9%),268 (6%),574 (8%),254 (26%),1,50,1,1,10,7,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 07sec,2072484 (8.857ms),161930 (13%),208846 (8%),268 (6%),574 (8%),254 (26%),1,50,1,1,14,5,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 56sec,999826 (4.273ms),139755 (11%),159833 (6%),174 (4%),591 (8%),256 (26%),5,50,1,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 56sec,999826 (4.273ms),139783 (11%),159836 (6%),174 (4%),591 (8%),256 (26%),5,50,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 53sec,1094008 (4.675ms),139765 (11%),159843 (6%),174 (4%),591 (8%),256 (26%),8,50,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 53sec,872435 (3.728ms),141520 (11%),159640 (6%),170 (3%),589 (8%),254 (26%),1,50,4,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 44sec,881523 (3.767ms),141553 (11%),159643 (6%),170 (3%),588 (8%),254 (26%),1,50,5,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 42sec,908805 (3.884ms),141546 (11%),159650 (6%),170 (3%),588 (8%),254 (26%),1,50,8,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 56sec,1023079 (4.372ms),144813 (12%),163599 (6%),184 (4%),577 (8%),255 (26%),1,50,1,5,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 56sec,1095445 (4.681ms),140228 (11%),159711 (6%),162 (3%),589 (8%),256 (26%),1,50,1,10,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 53sec,1094008 (4.675ms),139737 (11%),159840 (6%),174 (4%),591 (8%),256 (26%),8,50,1,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 53sec,1470790 (6.285ms),139774 (11%),159854 (6%),174 (4%),591 (8%),256 (26%),20,50,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 59sec,908805 (3.884ms),141518 (11%),159647 (6%),170 (3%),588 (8%),254 (26%),1,50,8,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 00sec,1017987 (4.35ms),141558 (11%),159668 (6%),182 (4%),588 (8%),254 (26%),1,50,20,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 56sec,850686 (3.635ms),138225 (11%),158453 (6%),162 (3%),577 (8%),256 (26%),1,50,1,50,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 02sec,2072484 (8.857ms),161902 (13%),209193 (8%),268 (6%),574 (8%),254 (26%),1,50,1,1,10,5,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 03sec,     ?,171665 (14%),216664 (9%),268 (6%),574 (8%),254 (26%),1,50,1,1,14,7,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 36sec,890366 (3.805ms),137228 (11%),156982 (6%),134 (3%),569 (8%),256 (26%),1,50,1,1,14,1,1,5,5,off,off,off,off,off,off,1,1,1,1,1,1
06min 42sec,1156802 (4.944ms),139755 (11%),159840 (6%),174 (4%),591 (8%),256 (26%),10,50,1,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 52sec,1470790 (6.285ms),139746 (11%),159851 (6%),174 (4%),591 (8%),256 (26%),20,50,1,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 45sec,220911 (0.944ms),211188 (17%),221901 (9%),146 (3%),1019 (14%),296 (30%),40,50,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 53sec,926999 (3.962ms),141526 (11%),159653 (6%),170 (3%),588 (8%),254 (26%),1,50,10,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 00sec,1017987 (4.35ms),141530 (11%),159665 (6%),182 (4%),588 (8%),254 (26%),1,50,20,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 51sec,888268 (3.796ms),142364 (12%),162378 (6%),184 (4%),579 (8%),255 (26%),1,50,1,25,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 50sec,811166 (3.467ms),150934 (12%),171135 (7%),202 (4%),610 (8%),256 (26%),1,50,1,1,14,1,1,5,25,off,off,off,off,off,off,1,1,1,1,1,1
07min 04sec,1156802 (4.944ms),139783 (11%),159843 (6%),174 (4%),591 (8%),256 (26%),10,50,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 48sec,696443 (2.976ms),98129 (8%),83346 (3%),218 (5%),481 (7%),44 (4%),40,5,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 15sec,267097 (1.141ms),211610 (17%),222295 (9%),158 (3%),1019 (14%),294 (30%),40,50,5,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 09sec,220910 (0.944ms),214491 (18%),222499 (9%),146 (3%),1016 (14%),296 (30%),40,50,1,10,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 12sec,226034 (0.966ms),215521 (18%),228252 (9%),288 (6%),1019 (14%),294 (30%),40,50,1,1,5,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 30sec,     ?,243882 (20%),279862 (11%),256 (5%),1016 (14%),294 (30%),40,50,1,1,14,7,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 28sec,213190 (0.911ms),222636 (18%),260409 (11%),786 (18%),1019 (14%),256 (26%),40,50,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 50sec,474038 (2.026ms),140500 (11%),160867 (6%),190 (4%),592 (8%),254 (26%),4,50,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 37sec,970837 (4.149ms),140560 (11%),159827 (6%),174 (4%),588 (8%),256 (26%),4,50,1,10,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 01sec,686093 (2.932ms),109577 (9%),121854 (5%),858 (19%),481 (7%),4 (~0%),40,5,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 39sec,696440 (2.976ms),101432 (8%),83944 (3%),218 (5%),478 (6%),44 (4%),40,5,1,10,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 27sec,259376 (1.108ms),223058 (18%),260803 (11%),798 (18%),1019 (14%),254 (26%),40,50,5,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 54sec,267096 (1.141ms),214913 (18%),222893 (9%),158 (3%),1016 (14%),294 (30%),40,50,5,10,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 14sec,213190 (0.911ms),227395 (19%),260666 (11%),786 (18%),1016 (14%),256 (26%),40,50,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 31sec,1453836 (6.213ms),245627 (20%),310496 (13%),896 (20%),1016 (14%),254 (26%),40,50,1,1,14,5,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 56sec,484826 (2.072ms),140519 (11%),160873 (6%),190 (4%),591 (8%),254 (26%),5,50,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 56sec,452475 (1.934ms),141650 (11%),161153 (6%),178 (4%),589 (8%),254 (26%),2,50,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 53sec,474037 (2.026ms),141279 (11%),160770 (6%),190 (4%),588 (8%),254 (26%),4,50,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 56sec,765863 (3.273ms),109573 (9%),121859 (5%),858 (19%),480 (7%),4 (~0%),40,10,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 03sec,686141 (2.932ms),114336 (9%),122111 (5%),858 (19%),478 (6%),4 (~0%),40,5,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 30sec,249868 (1.068ms),223035 (18%),260797 (11%),798 (18%),1020 (14%),254 (26%),40,50,4,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 23sec,287918 (1.23ms),223034 (18%),260804 (11%),798 (18%),1019 (14%),254 (26%),40,50,8,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 36sec,213704 (0.913ms),228359 (19%),268867 (11%),830 (19%),1099 (16%),255 (26%),40,50,1,25,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 46sec,517208 (2.21ms),140501 (11%),160874 (6%),190 (4%),591 (8%),254 (26%),8,50,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 35sec,517207 (2.21ms),141311 (11%),160787 (6%),190 (4%),587 (8%),254 (26%),8,50,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 50sec,1005245 (4.296ms),109529 (9%),121861 (5%),870 (20%),481 (7%),4 (~0%),40,25,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 53sec,765911 (3.273ms),114332 (9%),122116 (5%),858 (19%),477 (6%),4 (~0%),40,10,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 19sec,402139 (1.719ms),223048 (18%),260821 (11%),810 (18%),1019 (14%),254 (26%),40,50,20,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 21sec,249868 (1.068ms),227794 (19%),261054 (11%),798 (18%),1017 (14%),254 (26%),40,50,4,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 15sec,213190 (0.911ms),222636 (18%),260409 (11%),786 (18%),1019 (14%),256 (26%),40,50,1,50,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 28sec,     ?,255330 (21%),318434 (13%),896 (20%),1016 (14%),254 (26%),40,50,1,1,14,7,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 05sec,538802 (2.303ms),140519 (11%),160880 (6%),190 (4%),591 (8%),254 (26%),10,50,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 48sec,538801 (2.303ms),141329 (11%),160775 (6%),190 (4%),587 (8%),254 (26%),10,50,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 01sec,1005293 (4.296ms),114288 (9%),122118 (5%),870 (20%),478 (6%),4 (~0%),40,25,1,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 21sec,306952 (1.312ms),223057 (18%),260811 (11%),798 (18%),1019 (14%),254 (26%),40,50,10,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
12min 17sec,30990 (0.132ms),376902 (31%),471221 (19%),1526 (35%),1876 (27%),256 (26%),40,50,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 33sec,259376 (1.108ms),227817 (19%),261060 (11%),798 (18%),1016 (14%),254 (26%),40,50,5,10,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
09min 29sec,     ?,252999 (21%),361800 (15%),808 (18%),1016 (14%),254 (26%),40,50,1,1,14,14,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
10min 43sec,252216 (1.078ms),330219 (27%),377917 (15%),918 (21%),1445 (21%),254 (26%),1,50,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 35sec,424366 (1.814ms),141233 (11%),159457 (6%),174 (4%),577 (8%),254 (26%),1,50,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
09min 02sec,585463 (2.502ms),263257 (22%),332199 (14%),1586 (36%),1339 (19%),4 (~0%),40,1,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 01sec,767663 (3.281ms),108991 (9%),121387 (5%),846 (19%),482 (7%),4 (~0%),40,1,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
08min 12sec,213190 (0.911ms),222636 (18%),260409 (11%),786 (18%),1019 (14%),256 (26%),40,50,1,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
11min 54sec,30993 (0.132ms),374339 (31%),470305 (19%),1526 (35%),1879 (27%),256 (26%),40,50,40,1,1,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
09min 00sec,44779 (0.191ms),285114 (24%),314278 (13%),726 (16%),1436 (20%),296 (30%),40,50,40,1,14,1,4,5,1,off,off,off,off,off,off,1,1,1,1,1,1
10min 16sec,291838 (1.247ms),294766 (24%),371679 (15%),930 (21%),1449 (21%),254 (26%),4,50,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
09min 09sec,583663 (2.494ms),263839 (22%),332671 (14%),1598 (36%),1337 (19%),4 (~0%),40,10,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
11min 03sec,34880 (0.149ms),382236 (32%),477428 (20%),1688 (39%),1876 (27%),253 (26%),40,50,40,1,5,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
10min 31sec,32113 (0.138ms),385122 (32%),478115 (20%),1736 (40%),1873 (27%),255 (26%),40,50,40,1,14,7,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
38min 34sec,30654 (0.131ms),660913 (55%),962302 (40%),2748 (63%),3237 (47%),256 (26%),40,50,40,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
60min 00sec,,,,,,,40,50,40,1,14,1,4,5,10,flatten,off,off,off,off,off,1,1,1,1,1,1
27min 50sec,249730 (1.067ms),634100 (53%),984962 (41%),2118 (49%),2766 (40%),254 (26%),1,50,40,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
37min 24sec,248137 (1.06ms),583044 (49%),859794 (36%),2146 (49%),2768 (40%),254 (26%),4,50,40,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
10min 34sec,302626 (1.293ms),294785 (24%),371685 (15%),930 (21%),1448 (21%),254 (26%),5,50,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
10min 33sec,335008 (1.432ms),294767 (24%),371686 (15%),930 (21%),1448 (21%),254 (26%),8,50,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
34min 57sec,585054 (2.5ms),547268 (46%),823280 (34%),2808 (65%),2700 (39%),4 (~0%),40,1,40,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
35min 02sec,503484 (2.152ms),547854 (46%),823747 (34%),2820 (65%),2699 (39%),4 (~0%),40,5,40,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
08min 13sec,180094 (0.77ms),228585 (19%),272135 (11%),898 (20%),1092 (15%),256 (26%),40,50,1,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
08min 28sec,210052 (0.898ms),228952 (19%),272538 (11%),910 (21%),1093 (15%),254 (26%),40,50,4,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
35min 30sec,283967 (1.214ms),583069 (49%),859797 (36%),2146 (49%),2768 (40%),254 (26%),8,50,40,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
10min 28sec,464590 (1.985ms),294776 (24%),371703 (15%),930 (21%),1448 (21%),254 (26%),20,50,40,1,14,1,4,5,10,off,off,off,off,off,off,1,1,1,1,1,1
33min 31sec,822636 (3.516ms),547806 (46%),823754 (34%),2832 (65%),2699 (39%),4 (~0%),40,25,40,1,14,1,4,5,25,off,off,off,off,off,off,1,1,1,1,1,1
