compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2
05min 29sec,35347 (0.151ms),39035 (3%),46217 (1%),218 (5%),162 (2%),0 (~0%),1,1,1,70,off,off,1,1
05min 10sec,32347 (0.144ms),27327 (2%),37494 (1%),230 (5%),174 (2%),0 (~0%),2,1,1,70,off,off,1,1
05min 10sec,33213 (0.148ms),27392 (2%),37544 (1%),230 (5%),174 (2%),0 (~0%),3,1,1,70,off,off,1,1
05min 05sec,33247 (0.142ms),39221 (3%),46472 (1%),218 (5%),162 (2%),0 (~0%),1,2,1,70,off,off,1,1
05min 05sec,31987 (0.137ms),39249 (3%),47047 (1%),218 (5%),162 (2%),0 (~0%),1,5,1,70,off,off,1,1
05min 28sec,35647 (0.15ms),58406 (4%),69015 (2%),78 (1%),162 (2%),0 (~0%),1,1,2,70,off,off,1,1
06min 30sec,23947 (0.103ms),98259 (8%),121912 (5%),78 (1%),382 (5%),0 (~0%),1,1,4,70,off,off,1,1
07min 15sec,23845 (0.102ms),123456 (10%),130394 (5%),78 (1%),384 (5%),0 (~0%),3,1,4,70,off,off,1,1
07min 16sec,24468 (0.105ms),123407 (10%),130390 (5%),78 (1%),384 (5%),0 (~0%),4,1,4,70,off,off,1,1
05min 01sec,31827 (0.137ms),44785 (3%),59734 (2%),218 (5%),264 (3%),0 (~0%),3,5,1,70,off,off,1,1
05min 02sec,32694 (0.141ms),44734 (3%),59728 (2%),218 (5%),264 (3%),0 (~0%),4,5,1,70,off,off,1,1
06min 22sec,20587 (0.088ms),98473 (8%),122742 (5%),78 (1%),382 (5%),0 (~0%),1,5,4,70,off,off,1,1
04min 55sec,31747 (0.136ms),39387 (3%),47431 (2%),218 (5%),162 (2%),0 (~0%),1,7,1,70,off,off,1,1
07min 58sec,15487 (0.066ms),205351 (17%),296642 (12%),78 (1%),1248 (18%),0 (~0%),1,1,8,70,off,off,1,1
06min 08sec,15749 (0.067ms),128247 (10%),178580 (7%),66 (1%),778 (11%),0 (~0%),1,5,5,70,off,off,1,1
09min 10sec,14171 (0.061ms),232436 (19%),305394 (12%),78 (1%),1250 (18%),0 (~0%),2,1,8,70,off,off,1,1
09min 10sec,14469 (0.062ms),232473 (19%),305533 (12%),78 (1%),1250 (18%),0 (~0%),3,1,8,70,off,off,1,1
09min 10sec,14810 (0.063ms),232424 (19%),305529 (12%),78 (1%),1250 (18%),0 (~0%),4,1,8,70,off,off,1,1
06min 37sec,14317 (0.061ms),155287 (13%),187347 (7%),66 (1%),780 (11%),0 (~0%),2,5,5,70,off,off,1,1
06min 37sec,14565 (0.062ms),155509 (13%),187824 (7%),66 (1%),780 (11%),0 (~0%),3,5,5,70,off,off,1,1
06min 36sec,14840 (0.063ms),155274 (13%),187482 (7%),66 (1%),780 (11%),0 (~0%),4,5,5,70,off,off,1,1
07min 30sec,13387 (0.057ms),205537 (17%),296897 (12%),78 (1%),1248 (18%),0 (~0%),1,2,8,70,off,off,1,1
07min 25sec,12127 (0.052ms),205565 (17%),297472 (12%),78 (1%),1248 (18%),0 (~0%),1,5,8,70,off,off,1,1
09min 05sec,10587 (0.045ms),232650 (19%),306224 (12%),78 (1%),1250 (18%),0 (~0%),2,5,8,70,off,off,1,1
08min 58sec,10773 (0.046ms),232687 (19%),306363 (12%),78 (1%),1250 (18%),0 (~0%),3,5,8,70,off,off,1,1
08min 54sec,11002 (0.047ms),232638 (19%),306359 (12%),78 (1%),1250 (18%),0 (~0%),4,5,8,70,off,off,1,1
08min 47sec,11931 (0.051ms),232622 (19%),305649 (12%),78 (1%),1250 (18%),0 (~0%),2,2,8,70,off,off,1,1
08min 53sec,12159 (0.052ms),232659 (19%),305788 (12%),78 (1%),1250 (18%),0 (~0%),3,2,8,70,off,off,1,1
09min 02sec,12430 (0.053ms),232610 (19%),305784 (12%),78 (1%),1250 (18%),0 (~0%),4,2,8,70,off,off,1,1
07min 06sec,11887 (0.051ms),205703 (17%),297856 (12%),78 (1%),1248 (18%),0 (~0%),1,7,8,70,off,off,1,1
07min 12sec,11887 (0.051ms),205703 (17%),297856 (12%),78 (1%),1248 (18%),0 (~0%),1,7,8,70,off,off,1,1
09min 01sec,11220 (0.048ms),232670 (19%),306496 (12%),78 (1%),1249 (18%),0 (~0%),5,5,8,70,off,off,1,1
09min 03sec,11444 (0.049ms),232680 (19%),306500 (12%),78 (1%),1249 (18%),0 (~0%),6,5,8,70,off,off,1,1
08min 55sec,10331 (0.044ms),232788 (19%),306608 (12%),78 (1%),1250 (18%),0 (~0%),2,7,8,70,off,off,1,1
08min 58sec,10139 (0.043ms),232956 (19%),307250 (12%),78 (1%),1250 (18%),0 (~0%),2,10,8,70,off,off,1,1
08min 56sec,10509 (0.045ms),232825 (19%),306747 (12%),78 (1%),1250 (18%),0 (~0%),3,7,8,70,off,off,1,1
08min 54sec,10311 (0.044ms),232993 (19%),307389 (13%),78 (1%),1250 (18%),0 (~0%),3,10,8,70,off,off,1,1
09min 05sec,10526 (0.045ms),232944 (19%),307385 (13%),78 (1%),1250 (18%),0 (~0%),4,10,8,70,off,off,1,1
09min 09sec,10730 (0.046ms),232976 (19%),307522 (13%),78 (1%),1249 (18%),0 (~0%),5,10,8,70,off,off,1,1
09min 05sec,10011 (0.043ms),233078 (19%),308020 (13%),78 (1%),1250 (18%),0 (~0%),2,14,8,70,off,off,1,1
09min 27sec,9403 (0.04ms),254250 (21%),435083 (18%),78 (1%),1250 (18%),0 (~0%),2,70,8,70,off,off,1,1
09min 07sec,10179 (0.043ms),233115 (19%),308159 (13%),78 (1%),1250 (18%),0 (~0%),3,14,8,70,off,off,1,1
10min 22sec,9541 (0.041ms),267179 (22%),506843 (21%),78 (1%),1250 (18%),0 (~0%),3,70,8,70,off,off,1,1
11min 07sec,9727 (0.042ms),302486 (25%),578585 (24%),78 (1%),1250 (18%),0 (~0%),4,70,8,70,off,off,1,1
08min 49sec,10170 (0.043ms),225724 (19%),305218 (12%),78 (1%),1249 (18%),0 (~0%),5,70,8,70,off,off,1,1
11min 15sec,9727 (0.042ms),302486 (25%),578585 (24%),78 (1%),1250 (18%),0 (~0%),4,70,8,70,off,off,1,1
08min 43sec,10170 (0.043ms),225724 (19%),305218 (12%),78 (1%),1249 (18%),0 (~0%),5,70,8,70,off,off,1,1
05min 46sec,30977 (0.13ms),106243 (8%),226490 (9%),78 (1%),604 (8%),0 (~0%),2,70,2,70,off,off,1,1
06min 58sec,18497 (0.079ms),149360 (12%),275237 (11%),78 (1%),712 (10%),0 (~0%),2,70,4,70,off,off,1,1
06min 17sec,31787 (0.134ms),119172 (10%),298250 (12%),78 (1%),604 (8%),0 (~0%),3,70,2,70,off,off,1,1
07min 35sec,18917 (0.081ms),162289 (13%),346997 (14%),78 (1%),712 (10%),0 (~0%),3,70,4,70,off,off,1,1
09min 03sec,10364 (0.044ms),225734 (19%),305222 (12%),78 (1%),1249 (18%),0 (~0%),6,70,8,70,off,off,1,1
09min 04sec,11163 (0.048ms),225737 (19%),305266 (12%),78 (1%),1248 (18%),0 (~0%),10,70,8,70,off,off,1,1
09min 03sec,11163 (0.048ms),225737 (19%),305266 (12%),78 (1%),1248 (18%),0 (~0%),10,70,8,70,off,off,1,1
10min 54sec,8827 (0.038ms),299811 (25%),508576 (21%),44 (1%),1558 (22%),0 (~0%),2,70,10,70,off,off,1,1
11min 48sec,8947 (0.038ms),312732 (26%),580326 (24%),44 (1%),1558 (22%),0 (~0%),3,70,10,70,off,off,1,1
13min 01sec,9115 (0.039ms),348046 (29%),652078 (27%),44 (1%),1558 (22%),0 (~0%),4,70,10,70,off,off,1,1
10min 27sec,9540 (0.041ms),271280 (22%),378791 (16%),44 (1%),1557 (22%),0 (~0%),5,70,10,70,off,off,1,1
12min 56sec,9115 (0.039ms),348046 (29%),652078 (27%),44 (1%),1558 (22%),0 (~0%),4,70,10,70,off,off,1,1
18min 44sec,8443 (0.036ms),435696 (36%),709782 (30%),78 (1%),2498 (36%),0 (~0%),2,70,16,70,off,off,1,1
19min 28sec,8551 (0.037ms),448624 (37%),781558 (33%),78 (1%),2498 (36%),0 (~0%),3,70,16,70,off,off,1,1
20min 38sec,8707 (0.037ms),483932 (40%),853284 (36%),78 (1%),2498 (36%),0 (~0%),4,70,16,70,off,off,1,1
17min 30sec,8840 (0.038ms),407170 (34%),579796 (24%),78 (1%),2497 (36%),0 (~0%),5,70,16,70,off,off,1,1
20min 28sec,8707 (0.037ms),483932 (40%),853284 (36%),78 (1%),2498 (36%),0 (~0%),4,70,16,70,off,off,1,1
17min 31sec,8840 (0.038ms),407170 (34%),579796 (24%),78 (1%),2497 (36%),0 (~0%),5,70,16,70,off,off,1,1
60min 00sec,,,,,,,2,70,20,70,off,off,1,1
60min 00sec,,,,,,,3,70,20,70,off,off,1,1
17min 17sec,8996 (0.038ms),407178 (34%),579816 (24%),78 (1%),2497 (36%),0 (~0%),6,70,16,70,off,off,1,1
17min 30sec,9643 (0.041ms),407183 (34%),579804 (24%),78 (1%),2496 (36%),0 (~0%),10,70,16,70,off,off,1,1
60min 00sec,,,,,,,2,70,80,70,off,off,1,1
60min 00sec,,,,,,,2,70,16,70,flatten,off,1,1
17min 31sec,8443 (0.036ms),435696 (36%),709782 (30%),78 (1%),2498 (36%),0 (~0%),2,70,16,70,off,flatten,1,1
60min 00sec,,,,,,,3,70,20,70,off,off,2,1
60min 00sec,,,,,,,3,70,20,70,off,off,4,1
60min 00sec,,,,,,,3,70,20,70,off,off,8,1
18min 10sec,9974 (0.043ms),407178 (34%),579818 (24%),78 (1%),2496 (36%),0 (~0%),12,70,16,70,off,off,1,1
17min 57sec,10472 (0.045ms),407167 (34%),579810 (24%),78 (1%),2496 (36%),0 (~0%),15,70,16,70,off,off,1,1
18min 29sec,9627 (0.041ms),415122 (35%),580923 (24%),78 (1%),2498 (36%),0 (~0%),2,5,16,70,off,off,1,1
06min 50sec,13133 (0.056ms),177274 (14%),316206 (13%),66 (1%),780 (11%),0 (~0%),2,70,5,70,off,off,1,1
04min 32sec,585050 (2.5ms),59852 (5%),67351 (2%),100 (2%),565 (8%),5 (~0%),2,70,16,5,off,off,1,1
60min 00sec,,,,,,,2,70,80,70,off,off,8,1
60min 00sec,,,,,,,3,70,20,70,off,off,8,4
18min 33sec,11306 (0.048ms),407156 (34%),579802 (24%),78 (1%),2496 (36%),0 (~0%),20,70,16,70,off,off,1,1
18min 12sec,12979 (0.055ms),407159 (34%),579804 (24%),78 (1%),2496 (36%),0 (~0%),30,70,16,70,off,off,1,1
60min 00sec,,,,,,,3,70,20,70,off,off,60,1
60min 00sec,,,,,,,3,70,20,70,off,off,1,4
60min 00sec,,,,,,,60,70,16,70,off,off,1,1
18min 06sec,9371 (0.04ms),415260 (35%),581307 (24%),78 (1%),2498 (36%),0 (~0%),2,7,16,70,off,off,1,1
04min 25sec,457048 (1.828ms),60464 (5%),68116 (2%),128 (2%),568 (8%),0 (~0%),2,70,16,7,off,off,1,1
18min 08sec,9179 (0.039ms),415428 (35%),581949 (24%),78 (1%),2498 (36%),0 (~0%),2,10,16,70,off,off,1,1
04min 35sec,367195 (1.569ms),59377 (5%),66559 (2%),118 (2%),568 (8%),0 (~0%),2,70,16,10,off,off,1,1
60min 00sec,,,,,,,2,70,80,70,off,off,60,1
03min 21sec,461231 (1.845ms),9031 (~0%),7483 (~0%),78 (1%),22 (~0%),4 (~0%),1,1,1,1,off,off,1,1
05min 36sec,457334 (1.829ms),27621 (2%),33905 (1%),106 (2%),146 (2%),2 (~0%),1,14,1,1,off,off,1,1
05min 43sec,475631 (2.123ms),9013 (~0%),7462 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,8,1,off,off,1,1
05min 41sec,457634 (1.831ms),25068 (2%),29386 (1%),106 (2%),90 (1%),2 (~0%),1,7,1,1,off,off,1,1
05min 43sec,475631 (2.123ms),11237 (~0%),7861 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,4,1,off,off,1,1
05min 27sec,349532 (1.398ms),9240 (~0%),8175 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,5,1,off,off,1,1
05min 46sec,149233 (0.597ms),37195 (3%),41539 (1%),134 (3%),184 (2%),0 (~0%),1,1,1,14,off,off,1,1
05min 41sec,611084 (2.444ms),9627 (~0%),7880 (~0%),90 (2%),22 (~0%),2 (~0%),10,1,1,1,off,off,1,1
04min 15sec,475631 (2.123ms),15714 (1%),8932 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,2,1,off,off,1,1
04min 02sec,345635 (1.383ms),27992 (2%),34949 (1%),106 (2%),147 (2%),2 (~0%),1,14,5,1,off,off,1,1
04min 10sec,475631 (2.123ms),11237 (~0%),7861 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,4,1,off,off,1,1
04min 33sec,171100 (0.684ms),44659 (3%),45457 (1%),106 (2%),215 (3%),0 (~0%),5,1,1,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,1,1
04min 22sec,149233 (0.597ms),37411 (3%),41573 (1%),134 (3%),184 (2%),0 (~0%),1,1,16,14,off,off,1,1
04min 20sec,149593 (0.598ms),45892 (3%),53476 (2%),134 (3%),259 (3%),0 (~0%),1,7,1,14,off,off,1,1
04min 02sec,461493 (1.846ms),10061 (~0%),8809 (~0%),90 (2%),23 (~0%),2 (~0%),10,1,5,1,off,off,1,1
04min 32sec,145993 (0.652ms),41379 (3%),53470 (2%),134 (3%),190 (2%),0 (~0%),1,10,1,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,1,8
03min 53sec,195083 (0.78ms),44680 (3%),45497 (1%),106 (2%),214 (3%),0 (~0%),10,1,1,14,off,off,1,1
04min 38sec,145993 (0.652ms),41595 (3%),53504 (2%),134 (3%),190 (2%),0 (~0%),1,10,16,14,off,off,1,1
26min 44sec,13124 (0.052ms),1178118 (99%),1379735 (58%),1726 (39%),9270 (135%),2 (~0%),60,1,16,14,off,off,1,1
03min 34sec,195248 (0.781ms),28686 (2%),32719 (1%),120 (2%),85 (1%),5 (~0%),1,1,16,5,off,off,1,1
04min 26sec,152053 (0.628ms),39644 (3%),44841 (1%),134 (3%),184 (2%),0 (~0%),1,5,1,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,2,1
05min 18sec,145993 (0.652ms),43627 (3%),53846 (2%),134 (3%),190 (2%),0 (~0%),1,10,4,14,off,off,1,1
04min 30sec,147733 (0.591ms),37685 (3%),43408 (1%),134 (3%),184 (2%),0 (~0%),1,2,16,14,off,off,1,1
04min 30sec,149593 (0.598ms),46108 (3%),53510 (2%),134 (3%),259 (3%),0 (~0%),1,7,16,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,8,8
04min 13sec,154987 (0.62ms),18715 (1%),19127 (~0%),138 (3%),110 (1%),0 (~0%),1,10,1,10,off,off,1,1
06min 29sec,969066 (4.177ms),37219 (3%),47108 (1%),148 (3%),188 (2%),0 (~0%),1,10,1,7,off,off,1,1
05min 17sec,152053 (0.628ms),39860 (3%),44875 (1%),134 (3%),184 (2%),0 (~0%),1,5,16,14,off,off,1,1
05min 14sec,34175 (0.153ms),41760 (3%),54531 (2%),134 (3%),198 (2%),0 (~0%),1,10,5,14,off,off,1,1
05min 06sec,145993 (0.652ms),41379 (3%),53470 (2%),134 (3%),190 (2%),0 (~0%),1,10,1,14,off,off,1,1
04min 10sec,205868 (0.823ms),31134 (2%),36618 (1%),120 (2%),125 (1%),5 (~0%),1,10,1,5,off,off,1,1
05min 12sec,150793 (0.673ms),41463 (3%),53447 (2%),134 (3%),190 (2%),0 (~0%),1,10,8,14,off,off,1,1
27min 58sec,13124 (0.052ms),1178118 (99%),1379735 (58%),1726 (39%),9270 (135%),2 (~0%),60,1,16,14,off,off,1,8
04min 08sec,43169 (0.173ms),19066 (1%),20122 (~0%),138 (3%),118 (1%),0 (~0%),1,10,5,10,off,off,1,1
05min 13sec,59029 (0.264ms),46724 (3%),55996 (2%),190 (4%),228 (3%),0 (~0%),30,10,5,14,off,off,1,1
05min 13sec,150793 (0.673ms),41463 (3%),53447 (2%),134 (3%),190 (2%),0 (~0%),1,10,8,14,off,off,1,1
05min 36sec,190763 (0.852ms),48837 (4%),57236 (2%),106 (2%),220 (3%),0 (~0%),10,10,1,14,off,off,1,1
04min 25sec,34175 (0.153ms),41760 (3%),54531 (2%),134 (3%),198 (2%),0 (~0%),1,10,5,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,1,80
03min 36sec,44195 (0.177ms),33989 (2%),38355 (1%),138 (3%),148 (2%),0 (~0%),1,5,5,10,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,8,2
05min 02sec,352386 (1.519ms),37712 (3%),47847 (2%),148 (3%),188 (2%),0 (~0%),1,10,5,7,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,1,2
04min 32sec,40235 (0.166ms),40025 (3%),45902 (1%),134 (3%),192 (2%),0 (~0%),1,5,5,14,off,off,1,1
05min 04sec,150793 (0.673ms),41463 (3%),53447 (2%),134 (3%),190 (2%),0 (~0%),1,10,8,14,off,off,1,1
05min 10sec,41013 (0.183ms),49428 (4%),58492 (2%),106 (2%),228 (3%),0 (~0%),10,10,5,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,60,8
04min 00sec,77648 (0.311ms),31486 (2%),37486 (1%),120 (2%),125 (1%),5 (~0%),1,10,5,5,off,off,1,1
03min 57sec,177635 (0.711ms),27189 (2%),34888 (1%),98 (2%),118 (1%),2 (~0%),1,10,5,2,off,off,1,1
05min 02sec,145993 (0.652ms),41379 (3%),53470 (2%),134 (3%),190 (2%),0 (~0%),1,10,1,14,off,off,1,1
04min 03sec,345755 (1.383ms),26551 (2%),32361 (1%),98 (2%),115 (1%),2 (~0%),1,10,5,1,off,off,1,1
04min 40sec,145993 (0.652ms),48103 (4%),54918 (2%),134 (3%),190 (2%),0 (~0%),1,10,2,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,1,4
04min 55sec,352386 (1.519ms),37712 (3%),47847 (2%),148 (3%),188 (2%),0 (~0%),1,10,5,7,off,off,1,1
03min 29sec,345755 (1.383ms),26551 (2%),32361 (1%),98 (2%),115 (1%),2 (~0%),1,10,5,1,off,off,1,1
03min 36sec,33449 (0.134ms),23432 (1%),25631 (1%),134 (3%),162 (2%),0 (~0%),1,14,5,14,off,off,1,1
04min 46sec,35648 (0.159ms),49222 (4%),58122 (2%),106 (2%),230 (3%),0 (~0%),4,10,5,14,off,off,1,1
03min 40sec,33449 (0.134ms),23432 (1%),25631 (1%),134 (3%),162 (2%),0 (~0%),1,14,5,14,off,off,1,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,4,1
60min 00sec,,,,,,,1,1,5,1,flatten,off,4,8
60min 00sec,,,,,,,1,14,5,14,flatten,off,1,1
03min 56sec,36638 (0.147ms),29702 (2%),28933 (1%),106 (2%),163 (2%),0 (~0%),6,14,5,14,off,off,1,1
04min 01sec,41888 (0.168ms),29721 (2%),28962 (1%),106 (2%),162 (2%),0 (~0%),12,14,5,14,off,off,1,1
03min 45sec,177515 (0.71ms),28651 (2%),37476 (1%),106 (2%),150 (2%),2 (~0%),1,14,5,2,off,off,1,1
03min 52sec,36638 (0.147ms),29702 (2%),28933 (1%),106 (2%),163 (2%),0 (~0%),6,14,5,14,off,off,1,1
43min 01sec,10256 (0.041ms),1405163 (118%),1695184 (71%),3446 (79%),9270 (135%),0 (~0%),60,1,16,14,off,off,1,2
60min 00sec,,,,,,,1,1,5,1,flatten,off,4,2
03min 12sec,461231 (1.845ms),9031 (~0%),7483 (~0%),78 (1%),22 (~0%),4 (~0%),1,1,1,1,off,off,1,1
05min 37sec,176046 (0.704ms),30632 (2%),35048 (1%),156 (3%),107 (1%),0 (~0%),1,1,1,7,off,off,1,1
05min 32sec,459131 (1.837ms),8960 (~0%),7545 (~0%),78 (1%),22 (~0%),4 (~0%),1,2,1,1,off,off,1,1
05min 41sec,475631 (2.123ms),15714 (1%),8932 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,2,1,off,off,1,1
05min 42sec,489564 (1.958ms),9595 (~0%),7858 (~0%),90 (2%),24 (~0%),2 (~0%),2,1,1,1,off,off,1,1
05min 40sec,475631 (2.123ms),11237 (~0%),7861 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,4,1,off,off,1,1
05min 40sec,504718 (2.019ms),9632 (~0%),7858 (~0%),90 (2%),24 (~0%),2 (~0%),3,1,1,1,off,off,1,1
05min 38sec,195248 (0.781ms),28488 (2%),32658 (1%),120 (2%),85 (1%),5 (~0%),1,1,1,5,off,off,1,1
05min 29sec,149233 (0.597ms),37195 (3%),41539 (1%),134 (3%),184 (2%),0 (~0%),1,1,1,14,off,off,1,1
05min 25sec,196327 (0.785ms),34622 (2%),37689 (1%),128 (2%),139 (2%),0 (~0%),4,1,1,7,off,off,1,1
05min 24sec,149233 (0.597ms),37195 (3%),41539 (1%),134 (3%),184 (2%),0 (~0%),1,1,1,14,off,off,1,1
05min 24sec,158833 (0.635ms),32822 (2%),36608 (1%),138 (3%),140 (2%),0 (~0%),1,1,1,10,off,off,1,1
05min 07sec,174496 (0.698ms),18048 (1%),19928 (~0%),178 (4%),77 (1%),0 (~0%),1,7,1,7,off,off,1,1
05min 30sec,185176 (0.741ms),34625 (2%),37675 (1%),128 (2%),139 (2%),0 (~0%),2,1,1,7,off,off,1,1
05min 23sec,176046 (0.704ms),37325 (3%),36514 (1%),156 (3%),107 (1%),0 (~0%),1,1,2,7,off,off,1,1
05min 14sec,149593 (0.598ms),45892 (3%),53476 (2%),134 (3%),259 (3%),0 (~0%),1,7,1,14,off,off,1,1
05min 21sec,161517 (0.646ms),44683 (3%),45431 (1%),106 (2%),216 (3%),0 (~0%),3,1,1,14,off,off,1,1
05min 20sec,166314 (0.665ms),44633 (3%),45459 (1%),106 (2%),216 (3%),0 (~0%),4,1,1,14,off,off,1,1
05min 15sec,149233 (0.597ms),39443 (3%),41915 (1%),134 (3%),184 (2%),0 (~0%),1,1,4,14,off,off,1,1
05min 00sec,37415 (0.15ms),37576 (3%),42600 (1%),134 (3%),192 (2%),0 (~0%),1,1,5,14,off,off,1,1
05min 13sec,147733 (0.591ms),37469 (3%),43374 (1%),134 (3%),184 (2%),0 (~0%),1,2,1,14,off,off,1,1
05min 56sec,40235 (0.166ms),40025 (3%),45902 (1%),134 (3%),192 (2%),0 (~0%),1,5,5,14,off,off,1,1
05min 14sec,38325 (0.153ms),45282 (3%),46746 (1%),106 (2%),224 (3%),0 (~0%),3,1,5,14,off,off,1,1
06min 00sec,152053 (0.628ms),39644 (3%),44841 (1%),134 (3%),184 (2%),0 (~0%),1,5,1,14,off,off,1,1
05min 04sec,35353 (0.141ms),37132 (3%),41085 (1%),80 (1%),192 (2%),2 (~0%),1,1,10,14,off,off,1,1
05min 15sec,37357 (0.149ms),45088 (3%),46412 (1%),106 (2%),224 (3%),0 (~0%),2,1,5,14,off,off,1,1
05min 05sec,35915 (0.144ms),37850 (3%),44435 (1%),134 (3%),192 (2%),0 (~0%),1,2,5,14,off,off,1,1
04min 49sec,349532 (1.398ms),9240 (~0%),8175 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,5,1,off,off,1,1
04min 23sec,347532 (1.39ms),8968 (~0%),7134 (~0%),24 (~0%),23 (~0%),6 (~0%),1,1,10,1,off,off,1,1
04min 49sec,36249 (0.145ms),44791 (3%),44999 (1%),52 (1%),224 (3%),2 (~0%),3,1,10,14,off,off,1,1
04min 47sec,149233 (0.597ms),43919 (3%),42987 (1%),134 (3%),184 (2%),0 (~0%),1,1,2,14,off,off,1,1
04min 53sec,37250 (0.149ms),44739 (3%),44953 (1%),52 (1%),224 (3%),2 (~0%),4,1,10,14,off,off,1,1
05min 21sec,38173 (0.158ms),39581 (3%),44387 (1%),80 (1%),192 (2%),2 (~0%),1,5,10,14,off,off,1,1
04min 19sec,81368 (0.325ms),28459 (2%),32326 (1%),66 (1%),93 (1%),7 (~0%),1,1,10,5,off,off,1,1
